Regione,ASL,Città,CAP,Indirizzo,dug,civico,Farmacie,"Data Adesione al
protocollo"
080 - Emilia Romagna,103 - REGGIO EMILIA,Albinea,42020,Piazza Cavicchioni 10,Piazza Cavicchioni,10,Buffagni e Storti S.A.S.,2021-08-09T00:00:00Z
130 - Abruzzo,204 - TERAMO,Torano Nuovo,64010,Via Xx Settembre 44,Via Xx Settembre,44,Farmacia Brunelli S.R.L.,2021-08-10T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Lendinara,45026,Via Cesare Battisti 7,Via Cesare Battisti,7,Farmacia Laboratorio Mastelli S.A.S.,2021-08-07T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Calendasco,29010,Via Roma 26,Via Roma,26,Farmacia Mollica Dott.ssa Lucilla,2021-08-10T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Agello,06063,Via Vincioli 14 Agello,Via Vincioli,14,Farmacia Pimpinelli di Claudia Pimpinelli S.A.S.,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40123,Via S Isaia 2/a,Via S Isaia,2a,"Farmacia S. Isaia delle Dr.sse Laraia Annalisa, Ghiselli Giuliana e Cuconati Anna Maria S.N.C.",2021-08-11T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Altivole,31030,Via Roma 2,Via Roma,2,Farmacia Sant' Antonio S.A.S.,2021-08-10T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Avezzano,67051,Via M. De Cervantes 6,Via M. De Cervantes,6,Farmaemme S.N.C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Darsena 67,Via Darsena,67,Giardino S.N.C. di Adriana di Blasi e C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Palestro 74,Via Palestro,74,Ariostea,2021-08-10T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16122,Corso C Armellini 20R,Corso C Armellini,20r,Baudoin Sas di Giusti Paola e C.,2021-08-07T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Corbola,45015,Via Nuova 2,Via Nuova,2,Farmacia Dott Colla,2021-08-09T00:00:00Z
130 - Abruzzo,204 - TERAMO,Sant'egidio Alla Vibrata,64016,Corso Adriatico 141,Corso Adriatico,141,Farmacia Dottoressa di Mattei Di Matteo Valeria e C. S.A.S.,2021-08-07T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37138,Via M Faliero 71,Via M Faliero,71,Farmacia Dr Umberto Bettini,2021-08-13T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43121,Via Farini 42/a,Via Farini,42a,Farmacia Fornari,2021-09-08T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Abano Terme,35031,Via P D'abano 12,Via P D'abano,12,Farmacia Internazionale S.N.C.,2021-08-09T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Pieve di Cadore,32044,Piazza Tiziano 37,Piazza Tiziano,37,Farmacia Tiziano Snc di Mammano E Pietrobon,2021-08-11T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Albettone,36020,Piazza Umberto Primo 7,Piazza Umberto Primo,7,Farmacia Valdadige di Sterza e Rensi S.N.C.,2021-08-11T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Bagnolo In Piano,42011,Piazza G Garibaldi 9/a,Piazza G Garibaldi,9a,Panciroli S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40124,Via Farini 19,Via Farini,19,Alberani S.N.C.,2021-09-01T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Baiso,42031,Via Toschi 21/c,Via Toschi,21c,Comunale Baiso,2021-08-11T00:00:00Z
130 - Abruzzo,204 - TERAMO,Mosciano Sant'angelo,64023,Via Passamonti 13,Via Passamonti,13,Farmacia Antonelli di Antonelli Domenico,2021-08-09T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Asolo,31011,Piazza G Garibaldi 79,Piazza G Garibaldi,79,Farmacia Bonotto Massimo,2021-08-23T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43100,Via Repubblica 10/a,Via Repubblica,10a,Farmacia Coop Gibertini,2021-08-13T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Ari,66010,Via della Liberazione 8,Via della Liberazione,8,Farmacia D'amelio Ismaele,2021-08-27T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Sedico,32036,Via De Gasperi 10,Via De Gasperi,10,Farmacia Dr. Arrigoni Domingo e C. S.A.S.,2021-08-09T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Agna,35021,Via Roma 10,Via Roma,10,Farmacia S Antonio S.A.S.,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Giusti 4,Via Giusti,4,Lloyds Farmacia Castello di Lloyds Retail S.R.L.,2021-08-06T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Bomporto,41030,Via Panaria Bassa 84/b,Via Panaria Bassa,84b,Mantecchini,2021-08-09T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Coppito - L'aquila,67010,Via Per Preturo 12,Via Per Preturo,12,A.F.M. Coppito,2021-08-09T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Chieti,66100,Piazzale Tricalle 14,Piazzale Tricalle,14,Chieti Solidale S.R.L. Sede N.3,2021-08-18T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Asolo,31019,Via dei Tartari 1 ,Via dei Tartari,1,Farmacia All'angelo del Dr. Tonini Sergio e C.Sas,2021-08-07T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Arqua Polesine,45031,Via V Emanuele Secondo 10/t,Via V Emanuele Secondo,10t,Farmacia Beata Vergine della Salute Snc di Fasiol,2021-08-09T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43100,Via Repubblica 20/a,Via Repubblica,20a,Farmacia Corradini,2021-08-10T00:00:00Z
130 - Abruzzo,204 - TERAMO,Controguerra,64010,Via Machiavelli 1,Via Machiavelli,1,Farmacia D.ssa Patrizia Cappellacci,2021-08-09T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Albignasego,35020,Via Roma 206,Via Roma,206,Farmacia Montagna,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Ravenna 51,Via Ravenna,51,"San Giorgio S.N.C. dei Dott.Ri Emanuela, Federico, Anna Claudia Bonatti E Claudio Bonatti",2021-08-30T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Campogalliano,41011,Via Garibaldi 7,Via Garibaldi,7,Sant'orsola di Chiossi Michele E Stefano S.N.C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Bibbiano,42021,Via G B Venturi 119/a,Via G B Venturi,119a,Ternelli,2021-08-09T00:00:00Z
