operator,name,provincia,addr:city,addr:street,addr:housenumber,lon,lat,addr:postcode,chiusura,note1,note2
3 M SRL,PANINOTECA,RM,Roma,Via Quintino Sella,53,12.4957291,41.9076898,00187,SABATO E DOMENICA,,
4.5 IL BISTROT SRL,4.5 IL BISTROT,RM,Roma,Viale America,3,12.4615623,41.8317475,00144,MAI,,
4.5 IL BISTROT SRL,4.5 IL BISTROT RISTORANTE,RM,Roma,Via Amsterdam,140,12.4495265,41.8231537,00144,DOMENICA,,
A E V SRL,BLACK DIAMOND CAFE',RM,Roma,Viale Beethoven,64/66,12.467229,41.8339338,00144,DOMENICA,,
A G SRLS,PRONTO CHEF,RM,Roma,Viale Città D'europa,630/632,12.448813,41.8212913,00144,MAI,,
A. E G. CAFFE' SAS DI ALLEGRINI ROBERTO S.A.S.,CAFFE TORRINO,RM,Roma,Piazzale Cina,55/56,12.4328406,41.8078666,00144,DOMENICA,,
A.E.M.M.A. SRL,IL CHICCO E IL CALICE,RM,Roma,Viale Europa,288,12.4691938,41.8308093,00144,DOMENICA,,
ABA SRL,IL GUSTO IN PIAZZA BAR,RM,Roma,Piazza Regina Margherita,25/26,12.5053962,41.9137054,00198,MAI,,
ACQUA E FARINA SRL,ALICE PIZZA,RM,Roma,Via Torre Di Mezzavia,35,12.5948862,41.8374253,00173,LUNEDI',,
ACRI CYSIVE SRL,L'INSALATA RICCA RISTORANTE,RM,Roma,Via Francesco Acri,50/52,12.4823937,41.8434096,00142,MAI,,
ADETA SRL,CONAD SUPERMERCATO,RM,Roma,Via Del Torraccio Di Torrenova,182/B,12.6278951,41.8666194,00133,DOMENICA,,
AELLE IN SRL,CRUCIANI GASTRONOMIA,RM,Roma,Piazzale Delle Provincie,14/16,12.521177137250914,41.909366500000004,00162,DOMENICA,,
AHMED KEDR,RE DELLA PIZZA TAVOLA CALDA PIZZERIA,RM,Roma,Via Domenico De Dominicis,1,12.5347767,41.9009277,00159,MAI,,
AIDA SRL,AIDA SUPERMERCATI,RM,Roma,Via Di Rocca Cencia,68,12.6949397,41.881937,00132,MAI,,
AIELLO DANIELE,BAR IL GALEONE,RM,Roma,Via Della Lega Lombarda,53,12.5253453,41.9085614,00162,DOMENICA,,
AL DISCO VOLANTE SRL,DISCO VOLANTE RISTORANTE,RM,Roma,Via Alessandria,50,12.5005346,41.9105957,00198,MAI,,
AL FORNO DELLA SOFFITTA SRL,AL FORNO DELLA SOFFITTA RISTORANTE PIZZERIA,RM,Roma,Via Piave,62/64,12.4219779,41.6581424,00187,MAI,,
AL SA ALIMENTARI SRL,CARREFOUR MARKET,RM,Roma,Viale Giulio Agricola,104/108,12.5606269,41.8546679,00174,MAI,,
ALBA SRL,CARREFOUR,RM,Roma,Via Francesco Carrara,28,12.4746954,41.9123859,00196,MAI,,
ALBA SRL,CARREFOUR,RM,Roma,Via Degli Orti Della Farnesina,83,12.4639611,41.9393964,00135,MAI,,
ALBA SRL,CARREFOUR EXPRESS,RM,Roma,Via Dei Cestari,42,12.47736,41.8969468,00186,MAI,,
ALBA SRL,CARREFOUR MARKET,RM,Roma,Via Cassia,764,12.4265864,41.9746287,00189,MAI,,
ALBA SRL,CARREFOUR EXPRESS,RM,Roma,Via Filippo Civinini,54,12.4813168,41.9247874,00197,MAI,,
ALBI SRLS,CAFE ROUGE,RM,Roma,Via Dell'Amba Aradam,19,12.5014101,41.8845867,00184,SABATO E DOMENICA,,
ALE E ALE STREET FOOD SRLS,ALE E ALE STREET FOOD FROM PUGLIA,RM,Roma,Via Del Gazometro,43255,12.4790154,41.8716321,00154,DOMENICA,,
ALEO R. G. & C. SAS,NATURAL BAR,RM,Roma,Viale Regina Margherita,167,12.5053302,41.9140578,00198,DOMENICA,,
ALEXANDER BAR SRL,ALEXANDER BAR,RM,Roma,Via Di Portonaccio,124,12.5345194,41.9074398,00159,DOMENICA,,
ALFA SRL,CONAD,RM,Roma,Via Marco Celio Rufo,22,12.5523963,41.8654506,00175,MAI,,
ALIMENTARI BORSIERI SAS PIERINI E. E C.,ALIMENTARI BORSIERI,RM,Roma,Via Pietro Borsieri,9/A/11,12.4613179,41.9130953,00195,DOMENICA,,
ALIMENTARI COLLATINA  SRL,IPERCARNI,RM,Roma,Viale Alessandrino,318,12.5801753,41.8721773,00172,MAI,,
ALIMENTARI DANDINI ARTURO SNC E C,CONAD,RM,Roma,Via Campi D'Annibale,110,12.7143518,41.7607926,00168,MAI,,
ALIMENTARI DI SANTE LUCA,ALIMENTARI DI SANTE LUCA,RM,Roma,Via Piero Foscari,111,12.5175988,41.9516195,00139,DOMENICA,,
ALIMENTARI EREDI SALVATORI GIOVANNI SAS,ALIMENTARI,RM,Roma,Viale Dei Salesiani,92/94,12.5667015,41.857446,00175,MAI,,
ALIMENTARI SANTECECCA,ALIMENTARI SANTECECCA,RM,Roma,Via Antonino Lo Surdo,23/A/B,12.4711217,41.8631259,00146,DOMENICA,,
ALIMENTARIA ST3 SRL,ALIMENTARIA ST3,RM,Roma,Via Di Casal Dei Pazzi,53,12.5693703,41.9275957,00156,DOMENICA,,
ALMA CATERING SRL,CAFFE' TORINO,RM,Roma,Via Torino,40/A,12.4955986,41.9014889,00184,SABATO E DOMENICA,,
AMADIO TIZIANO,MACELLERIA AMADIO,RM,Roma,Via Luciano Manara,43445,12.4703803,41.8879394,00153,SABATO E DOMENICA,,
AMG 2011 SRL,BAR DELLA RABBIA,RM,Roma,Via Imperatore Tiberio,109,,,00145,MAI,,
AMURA E CO SRL,RISTORANTE SUGHETTO,RM,Roma,Via Del Portico D'ottavia,1/C,12.4783778,41.8923774,00186,SABATO,,
ANDRACCHIO FRANCESCO,PASTICCERIA ANDRACCHIO BAR,RM,Roma,Via Alessandro Severo,224,12.4876164,41.8528984,00145,MAI,,
ANDRACCHIO GIUSEPPE CAFFE',CAFFE ANDRACCHIO,RM,Roma,Via Cornelio Magni,33/35,12.4974888,41.8653681,00147,DOMENICA,,
ANDRACCHIO GIUSEPPE CAFFE',BAR CAFFE' ANDRACCHIO,RM,Roma,Via Cristoforo Colombo,149,12.4945725,41.8571439,00147,DOMENICA,,
ANDREOTTI SRL,PASTICCERIA CAFFETTERIA ANDREOTTI,RM,Roma,Via Ostiense,54/B,12.4797813,41.8716985,00154,MAI,,
ANNA & GIPPO SNC,ALICE,RM,Roma,Via Palermo,46,12.4923408,41.8991009,00184,DOMENICA,,
ANNA MARIA BONVENTRE,AL 127 CAFFETTERIA,RM,Roma,Viale Giulio Cesare,127,12.4586746,41.9093489,00192,DOMENICA,,
ANTAKA DI MOHAMED A.M.,ANTAKA,RM,Roma,Via Aosta,11,12.5141944,41.8827088,00182,MAI,,
ANTICA BIRRERIA SRL,ANTICA BIRRERIA PERONI DAL 1906,RM,Roma,Via Di San Marcello,19,12.4824596,41.8987739,00187,DOMENICA,,
ANTONACCI MARCO,SAPORI DI UNA VOLTA,RM,Roma,Via Andrea Solario,64,12.4867442,41.8379542,00142,DOMENICA,,
ANTONINI LORENA,ANTONINI MARKET,RM,Roma,Via Monte Cervialto,7,12.5262362,41.9504979,00139,MAI,,
ANZ SRL,VINERIA ANZUINI,RM,Roma,Viale Europa,226/278,,,00144,DOMENICA,,
APPLE 299 SRLS,APPLE 299,RM,Roma,Viale Europa,299,12.4691938,41.8308093,00144,SABATO E DOMENICA,,
ARCA SRL,CAFFÈ BELSITO,RM,Roma,Via Rotterdam,43409,12.4535675,41.8205021,00144,DOMENICA,,
ARCO SRL,IPERTRISCOUNT,RM,Roma,Via Dell'Arco Di Travertino,88,12.534146,41.8650136,00178,MAI,,
ARMENIO SNC DI ARMENIO E C,CAFFE' PIAVE,RM,Roma,Via Piave,2/E,12.4219779,41.6581424,00187,MAI,,
AROMA EUR SRL,JUST CASINI,RM,Roma,Viale Della Civilta Del Lavoro,14/34,12.4676864,41.8361219,00144,MAI,,
AROMA EUR SRL,EUR CAFFE CASINI 2 BAR,RM,Roma,Via Chopin,27/33,12.4679361,41.8348906,00144,MAI,,
ARTE E SFIZIO SRL,ARTE E SFIZIO,RM,Roma,Via Sistina,14/A/D,12.4859016,41.9046819,00187,MAI,,
ASAR MOHAMED AYMAN,PIZZA IN RISTORANTE,RM,Roma,Viale Di Trastevere,100/102,12.4720747,41.886744,00153,MAI,,
ATLANTIDE SRL,GRAN CAFFE' LA CAFFETTIERA,RM,Roma,Piazza Di Pietra,65,12.4798402,41.9000357,00186,MAI,,
AUGUSTA SRL,KFC - KENTUCKY FRIED CHICKEN,RM,Roma,Via Collatina,858,12.6610072,41.9156089,00132,MAI,ROMA EST,
AZZURRA SRL,PEWEX SUPERMERCATO,RM,Roma,Via Simonetta Landucci Tosi,27,12.3978735,41.9588574,00135,MAI,C.C. GULLIVER,
AZZURRA SRL,PEWEX SUPERMERCATO,RM,Roma,Via Filippo Serafini,73,12.5746158,41.8616058,00173,MAI,,
B. & A. SRL,BURRO E ALICI PANINOTECA,RM,Roma,Via Mercede,34,12.4821672,41.903293,00187,DOMENICA,,
BAGHETTIAMO SRL,BAGHETTIAMO,RM,Roma,Via Toscana,40,12.4908031,41.9098917,00187,SABATO E DOMENICA,,
BAKERY ROMA SRLS,BAKERY,RM,Roma,Circonvallazione Ostiense,158,12.4934056,41.8673282,00154,MAI,,
BAR DEL MEF SRLS,BAR DEL MEF,RM,Roma,Via Pastrengo,1,10.208617,43.9281856,00185,SABATO E DOMENICA,,
BAR DELLA FONTE SRLS,BAR DELLA FONTE,RM,Roma,Via Andrea Meldola,186/188,12.507107,41.823513,00143,DOMENICA,,
BAR DELLE VILLE SAS,BAR DELLE VILLE,RM,Roma,Via Nomentana,303,12.5196043,41.9229722,00162,DOMENICA,,
BAR FRATELLI IACOVONE SNC DI IACOVONE,BAR FRATELLI,RM,Roma,Via Nomentana,99,12.5133326,41.917478,00161,DOMENICA,,
BAR GOITO SRLS DI NARDONE NICOLA,BAR GOITO,RM,Roma,Via Goito,31/33,12.4989209,41.9072304,00185,DOMENICA,,
BAR PRATI SNC DI G. ANGELONI E L. IACONI,PRATI BAR,RM,Roma,Via Silla,106/108,12.4602272,41.9068509,00192,DOMENICA,,
BAR SOLE & FIORE SRLS,BAR SOLE & FIORE,RM,Roma,Via Carlo Citerni,45/47,12.4931446,41.8679018,00154,DOMENICA,,
BAR TAVOLA CALDA ROMAGNOLI SRL,BAR TAVOLA CALDA,RM,Roma,Via Nizza,69 C/D,12.5002095,41.912433,00198,DOMENICA,,
BAR TORTORA SNC,TORTORA BAR,RM,Roma,Via Giandomenico Romagnosi,5,12.502125,41.6674505,00196,SABATO E DOMENICA,,
BARCOLLO SRL,BAR COLLO,RM,Roma,Viale Gino Cervi,14,12.5331772,41.9632348,00139,DOMENICA,,
BCL SAS DI LEONE FABIO & C,TAZZA D'ORO BAR,RM,Roma,Via Ostiense,133/C,12.4789164,41.8639051,00154,DOMENICA,,
