ref:ISTAT,lat,lon,name,postcode,email,ref:vatin,website,Indirizzo
066003,41.7197521,14.0011512,Alfedena,67030,comune@pec.comune.alfedena.aq.it,IT82000570661,www.comune.alfedena.a.q.it,via luigi de amicis
066010,41.7751501,13.9671508,Barrea,67030,comune.barrea@pec.it,IT82000470664,www.comune.barrea.aq.it,via palombara nuova
066061,41.7727306,13.8539866,Opi,67030,comuneopi@pec.comune.opi.aq.it,IT00181620667,www.comune.opi.aq.it,via san giovanni 50
069088,41.8056870,14.4902211,Schiavi d'Abruzzo,66045,servizigenerali@comuneschiavidiabruzzo.legalmailpa.it,IT83000490694,www.comune.schiavidiabruzzo.ch.it,via municipio 5
066106,41.8453614,13.6705648,Villavallelonga,67050,protocollo.comunedivillavallelonga@pec.it,IT00207820663,www.comune.villavallelonga.aq.it,piazza olmi 2
066057,41.8455883,13.4385296,Morino,67050,info@pec.comune.morino.aq.it,IT00185610664,www.comune.morino.aq.it,via xxiv maggio
066092,41.8299311,13.5276258,San Vincenzo Valle Roveto,67050,info@pec.comune.sanvincenzovalleroveto.aq.it,IT00217860667,www.comune.sanvincenzovalleroveto.aq.it,via guglielmo marconi 7
066093,41.8865647,13.9095678,Scanno,,,,,
069019,41.8253017,14.5353963,Castelguidone,66040,comunedicastelguidone@pec.it,IT83000130696,213.203.143.153/c069019,piazza duca degli abruzzi 20
066050,41.8949137,13.6888147,Lecce nei Marsi,67050,comune.lecceneimarsi.aq@pec.comnet-ra.it,IT81004960662,www.comunelecceneimarsi.it,corso italia
066078,41.8669734,14.0585822,Rivisondoli,67036,postacert@pec.comune.rivisondoli.aq.it,IT82000050664,comune.rivisondoli.aq.it,piazza municipio 3
069020,41.8725287,14.4461268,Castiglione Messer Marino,66033,servizigenerali@comunecastiglionemessermarino.legalmailpa.it,IT83000170692,comunecastiglionemessermarino.ch.it,via erasmo colapietro 100
069093,41.8685533,14.5364922,Torrebruna,66050,comune.torrebruna@pec.it,IT83000550695,www.comune.torrebruna.ch.it,corso piano madonna 6
069021,41.8810180,14.5861940,Celenza sul Trigno,66050,comune@pec.celenzasultrigno.com,IT83000210696,www.comune.celenzasultrigno.ch.it,corso umberto i 23
069039,41.9033322,14.2108340,Gamberale,66040,comune.gamberale@pec.it,IT81001770692,www.comune.gamberale.ch.it,rione case popolari 8
069012,41.9200197,14.5429974,Carunchio,66050,demografici.carunchio@legalmail.it,IT83000010690,comune.carunchio.ch.it,via municipio 2
066034,41.8860691,13.4757910,Civita d'Antino,67050,info@pec.comune.civitadantino.aq.it,IT00216390666,www.comune.civitadantino.aq.it,via genova 4
069078,41.8967571,14.3516415,Rosello,,,,,
066011,41.9222122,13.7874588,Bisegna,67050,comunebisegna@pec.it,IT00213000664,comune.bisegna.aq.it,via vittorio emanuele
066036,41.8966460,13.4126656,Civitella Roveto,67054,info@pec.comune.civitella-roveto.aq.it,IT00216210666,www.comune.civitella-roveto.aq.it,via roma
069034,41.9047691,14.4910650,Fraine,66050,comune.fraine.ch@legalmail.it,IT00260810692,www.comune.fraine.ch.it,via santa maria mater domini 1
069077,41.9157819,14.3727966,Roio del Sangro,66040,comuneroio@pec.mediosangro.it,IT81003010691,www.comune.roiodelsangro.ch.it,piazza v. emanuele
069097,41.9192399,14.6331361,Tufillo,66050,comune.tufillo.anagrafe@legalmail.it,IT83000570693,www.tufillo.gov.it,piazza marconi 4
069060,41.9697464,14.1344844,Palena,66017,comunedipalena@pec.it,IT00248560690,www.comune.palena.ch.it,via roma 5
066083,41.9112636,13.9873453,Rocca Pia,67030,comune.roccapia@pec.arc.it,IT00144520665,www.comune.roccapia.aq.it,piazza san rocco 12
069052,41.9342961,14.3857972,Monteferrante,66040,comune.monteferrante@pec.it,IT81001690692,www.comune.monteferrante.ch.it,"corso umberto i,42"
069051,41.9560043,14.4390139,Montazzoli,66030,montazzoli@raccomandata.eu,IT00254260698,www.comune.montazzoli.ch.it,piazza citta dell'aquila
069076,41.9317838,14.4648184,Roccaspinalveti,66050,comune@pec.comuneroccaspinalveti.it,IT83000390696,www.comuneroccaspinalveti.it,piazza roma 25
069061,41.9503781,14.6002258,Palmoli,66050,comune.palmoli@pec.it,IT00253650691,www.comunepalmoli.it,via vittorio veneto 4
069070,41.9276805,14.2723539,Quadri,66040,casella@pec.comune.quadri.ch.it,IT81002560696,www.comune.quadri.ch.it,piazza del popolo
066103,41.9352347,13.8227369,Villalago,67030,anagrafecomunevillalago@pec.it,IT00215010661,www.comune.villalago.aq.it/,via corrado iafolla 1
066017,41.9342075,13.4004414,Canistro,,,,,
069054,41.9604166,14.2327021,Montenerodomo,66010,comune.montenerodomo.ch@halleycert.it,IT00253540694,www.montenerodomo.gov.it,piazza benedetto croce
069102,41.9697249,14.3525552,Villa Santa Maria,66047,comune@pec.villasantamaria.eu,IT81002080695,www.villasantamaria.eu,corso umberto i 18
066064,41.9493314,13.6230308,Ortucchio,67050,procomunediortucchioaq@pec.it,IT00212110662,www.comunediortucchio.it,piazza alfredo zampa 5
069023,41.9556470,14.2854151,Civitaluparella,66040,comunecivitaluparella@pec.it,IT81002250694,www.comune.civitaluparella.chieti.it,piazza marconi
069104,41.9500515,14.3246867,Fallo,66040,anagrafe.fallo@legalmail.it,IT81001730696,www.comune.fallo.ch.it,viale della rimembranza 35
066018,41.9826384,14.0272456,Cansano,67030,comunedicansano@pec.it,IT00180400665,http://www.comune.cansano.aq.it/hh/index.php,viale felice villani 1
066071,41.9647478,13.9437862,Pettorano sul Gizio,67034,comunepettoranosulgizio@pec.it,IT83002390660,www.comune.pettorano.aq.it,piazza zannelli 12
066023,42.0007324,13.2450188,Cappadocia,,,,,
066029,41.9773882,13.3272840,Castellafiume,67050,comunedicastellafiume@pec.it,IT00201380664,www.comune.castellafiume.aq.it,via delle scuole 39
