lat,lon,name,addr,postcode,website,ref:vatin,mail1
44.4161414,12.2017617,Ravenna,"Piazza Del Popolo, 1",48121,http://www.comune.ravenna.it,IT00354730392,comune.ravenna@legalmail.it
44.6415700,11.3478100,Argelato,"Via Argelati, 4",40050,http://www.comune.argelato.bo.it,IT00968810374,comune.argelato@pec.renogalliera.it
44.1629560,11.0358110,Castel di Casio,Via Marconi 9,40030,http://www.comune.casteldicasio.bo.it,IT01042260370,comune.casteldicasio@cert.provincia.bo.it
44.1618295,10.8940436,Lizzano in Belvedere,"Piazza Marconi, 6",40042,http://www.comune.lizzano.bo.it,IT01025300375,comune.lizzanoinbelvedere@cert.provincia.bo.it
44.2792634,11.2664080,Monzuno,Via Casaglia 4,40036,http://www.comune.monzuno.bo.it,IT00956680375,comune.monzuno@cert.provincia.bo.it
44.2152590,11.2329140,San Benedetto Val di Sambro,"Via Roma, 39",40048,http://www.comune.sanbenedettovaldisambro.bo.it,IT80014530374,comune.sanbenedettovaldisambro@cert.provincia.bo.it
44.6461651,11.5332953,Baricella,"Via Roma, 76",40052,http://www.comune.baricella.bo.it,IT01042180370,comune.baricella@cert.provincia.bo.it
44.2758590,10.9994080,Castel d'Aiano,"Piazza Nanni Levera, 12",40034,http://www.comune.casteldaiano.bo.it,IT01041620376,comune.casteldaiano@cert.provincia.bo.it
44.8941828,11.8278892,Copparo,"Via Roma, 28",44034,http://www.comune.copparo.fe.it,IT00053930384,comune.copparo@cert.comune.copparo.fe.it
44.8824077,11.9793488,Jolanda di Savoia,"Piazza Unita' D'Italia, 5",44037,http://www.comune.jolandadisavoia.fe.it,IT00313290389,pec@cert-comune-jolandadisavoia-fe.it
44.7590740,11.7511320,Voghiera,"Viale B. Buozzi, 12B",44019,http://www.comune.voghiera.fe.it,IT00289060386,comune.voghiera.fe@legalmail.it
44.8508830,12.2949270,Goro,"Piazza Dante Alighieri, 19",44020,http://www.comune.goro.fe.it,IT82000830388,comune.goro@cert.comune.goro.fe.it
44.7456780,11.9435210,Ostellato,"Piazza Repubblica, 1",44020,http://www.comune.ostellato.fe.it,IT00142430388,comune.ostellato@cert.comune.ostellato.fe.it
44.6963790,12.1804270,Comacchio,"Piazza Folegatti,15",44022,http://www.comune.comacchio.fe.it,IT82000590388,comune.comacchio@cert.comune.comacchio.fe.it
44.8315810,12.1095240,Codigoro,"Piazza Matteotti, 60",44021,http://https://www.comune.codigoro.fe.it,IT00339040388,comune.codigoro@cert.comune.codigoro.fe.it
44.7659740,11.4901110,Poggio Renatico,"P.za Castello, 1",44028,http://www.comune.poggiorenatico.fe.it,IT00339480386,comune.poggiorenatico@cert.comune.poggiorenatico.fe.it
44.0422403,12.3182595,Roncofreddo,"Via C Battisti, 93",47020,http://www.comune.roncofreddo.fc.it,IT81006880405,roncofreddo@cert.provincia.fc.it
44.0315914,12.3543893,Borghi,"Piazza Lombardini, 7",47030,http://www.comune.borghi.fc.it,IT00664610409,comune.borghi@cert.provincia.fc.it
44.0046630,12.3005410,Sogliano al Rubicone,"Piazza Repubblica,35",47030,http://www.comune.sogliano.fc.it,IT81007720402,comune.sogliano@cert.provincia.fc.it
43.9187582,12.1432584,Sarsina,"Largo Alcide De Gasperi, 9",47027,http://www.comune.sarsina.fc.it,IT81000770404,sarsina@pec.unionevallesavio.it
44.1022154,11.9816196,Predappio,"Piazza Sant'Antonio, 3",47016,http://www.comune.predappio.fc.it,IT80008750400,comune.predappio@cert.provincia.fc.it
44.0829650,12.3044400,Montiano,Piazza Maggiore 3,47020,http://www.comune.montiano.fc.it,IT81000990408,montiano@pec.unionevallesavio.it
44.1611630,11.7935280,Modigliana,"Via Garibaldi, 63",47015,http://www.comune.modigliana.fc.it,IT80002730408,modigliana@cert.provincia.fc.it
44.0744650,12.3275410,Longiano,"Piazza Tre Martiri, 8",47020,http://www.comune.longiano.fc.it,IT81001810407,comune.longiano@cert.provincia.fc.it
44.1094660,12.3860420,Gatteo,"Piazza A. Vesi, 6",47043,http://www.comune.gatteo.fc.it,IT81001970409,gatteo@cert.provincia.fc.it
44.1169463,12.3387643,Gambettola,"Piazza II Risorgimento, 6",47035,http://www.comune.gambettola.fc.it,IT00607230406,comune.gambettola@cert.provincia.fc.it
44.3072628,10.7317768,Lama Mocogno,Via XXIV Maggio 4,41023,http://www.comune.lamamocogno.mo.it,IT00460930365,comune@cert.comune.lamamocogno.mo.it
44.6776083,11.0436236,Nonantola,Via Guglielmo Marconi 11,41015,http://www.comune.nonantola.mo.it,IT00237070362,comune.nonantola@cert.comune.nonantola.mo.it
44.2685063,10.9411886,Montese,Via Panoramica 60,41055,http://www.comune.montese.mo.it,IT00273460360,comunemontese@cert.comune.montese.mo.it
44.3396940,10.8341135,Pavullo nel Frignano,"Piazza Montecuccoli, 1",41026,http://www.comune.pavullo-nel-frignano.mo.it,IT00223910365,comune.pavullo@cert.comune.pavullo-nel-frignano.mo.it
44.3447580,10.7235010,Polinago,"Corso Roma, 71",41040,http://www.comune.polinago.mo.it,IT00474870367,comune@cert.comune.polinago.mo.it
44.2047540,10.6166010,Pievepelago,Piazza Vittorio Veneto 16,41027,http://www.comune.pievepelago.mo.it,IT00632850368,comune@cert.comune.pievepelago.mo.it
44.2299738,10.6515646,Riolunato,"Via Castello, 8",41020,http://www.comune.riolunato.mo.it,IT00661380360,comune@cert.comune.riolunato.mo.it
