lat,lon,name,email,ref:vatin,website,postcode,addr
43.5804949,13.1661271,Belvedere Ostrense,segreteria.belvedere@emarche.it,IT00185520426,https://www.comune.belvedere.an.it,60030,Corso Barchiesi Vittorio N. 22
43.4455544,13.1155997,Cupramontana,comune.cupramontana@emarche.it,IT00208390427,https://www.comune.cupramontana.an.it,60034,"Via Nazario Sauro, 1"
43.4296550,12.9349650,Genga,sindaco@pec.comunedigenga.it,IT00196710420,https://www.comunedigenga.it,60040,Viale Corridoni Snc
43.4326550,12.8572630,Sassoferrato,,,,,
43.5781353,13.3527346,Camerata Picena,,,,,
43.4867580,13.1446680,Castelbellino,comune.castelbellino@emarche.it,IT82002250429,https://www.comune.castelbellino.an.it,60030,Piazza San Marco N. 15
43.6388630,13.3074700,Montemarciano,protocollo@cert.comune.montemarciano.ancona.it,IT00161090428,https://www.comune.montemarciano.ancona.it,60018,"Via Umberto I, 20"
43.5111580,13.0736670,Poggio San Marcello,comune.poggiosanmarcello@pec.it,IT00366480424,https://www.comune.poggiosanmarcello.an.it,60030,Piazza Del Comune 3
43.5255610,13.3920730,Polverigi,comune.polverigi@pec.it,IT00168450427,https://www.comune.polverigi.an.it/,60020,Piazza Umberto I  N.15
43.4545580,13.1727700,San Paolo di Jesi,protocollo@pec.comunesanpaolodijesi.it,IT82002630422,https://www.comunesanpaolodijesi.it,60038,"Piazzale Domenico Ricci, 1"
42.9449356,13.8151143,Acquaviva Picena,protocollo@pec.comuneacquavivapicena.it,IT00376660445,https://www.comuneacquavivapicena.it,63075,Via San Rocco n.9
43.1092251,13.7998781,Altidona,sindaco@pec.altidona.net,IT81000890442,https://www.altidona.net,63824,"Largo Municipale, 1"
43.0193790,13.4960348,Santa Vittoria in Matenano,comunesvittoria@pec.it,IT00330500448,https://www.svittoria.it,63854,Corso Matteotti 13
42.8980866,13.7280424,Castorano,protocollo@pec.comune.castorano.ap.it,IT80003750447,https://www.comune.castorano.ap.it,63081,"Piazza Padre Carlo Orazi, 3"
42.9393500,13.6239870,Castignano,comunecastignano.ap@pec.it,IT00358540441,https://www.comune.castignano.ap.it,63072,Via Margherita 25
42.9898510,13.6091860,Montalto delle Marche,com.montalto.ap@emarche.it,IT80000490443,https://www.comune.montaltodellemarche.ap.it,63068,"Piazza Umberto I, 2"
43.1873550,13.5406820,Francavilla d'Ete,pecomune.francavilladete@emarche.it,IT81001090448,https://www.comunefrancavilladete.it,63816,"Piazza Vittorio Emanuele, 34"
43.0855540,13.7309880,Moresco,,,,,
43.0991640,13.8407771,Pedaso,protocollo@pec.comunedipedaso.it,IT81001950443,https://www.comunedipedaso.it,63827,Piazza Roma N. 6
43.1322530,13.5363830,Montegiorgio,comune.montegiorgio@emarche.it,IT81002030443,https://www.comune.montegiorgio.fm.it,63833,"Piazza Matteotti, 33"
42.8991551,13.3268587,Montemonaco,comunemontemonaco.protocollo@pec.it,IT00357080449,,63088,Piazza Risorgimento N. 5
43.0500664,13.6310024,Monte Vidon Combatte,,,,,
43.0051500,13.4449820,Smerillo,comune.smerillo@emarche.it,IT80000970444,https://www.comune.smerillo.fm.it,63856,"Via Dante Alighieri, 14"
43.1828550,13.6127840,Torre San Patrizio,comune.torresanpatrizio@postcert.it,IT00377160445,https://www.comune.torresanpatrizio.fm.it,63814,Piazza Umberto I N. 1
43.1612526,13.5929049,Rapagnano,comune.rapagnano@pec.it,IT00358210441,comune.rapagnano.fm.it,63831,P.zza Siccone 3
43.0320520,13.6849870,Carassai,protocollo@pec.comune.carassai.ap.it,IT82001930443,https://www.comune.carassai.ap.it,63063,"Piazza Matteotti, 7"
43.0914408,13.5396519,Belmonte Piceno,comune.belmontepiceno@pec.it,IT81001490440,https://www.comunebelmontepiceno.it,63838,"Piazza Giacomo Leopardi, 6"
43.1497719,13.4754066,Massa Fermana,protocollo.massafermana@pec.it,IT00380940445,https://www.comunemassafermana.it,63834,"Via Garibaldi, 60"
42.9632573,13.4909482,Force,segreteria@pec.comune.force.ap.it,IT80000330441,https://www.comune.force.ap.it,63086,Piazza V.Emanuele II N.2
43.0479035,13.5285340,Monteleone di Fermo,monteleonedifermo@pec.it,IT81001850445,https://www.halleyweb.com/c044042/hh/index.php?jvs=0&acc=1&jv,63841,"Via Garibaldi, 9"
42.9430952,13.3448312,Montefortino,comune.montefortino@emarche.it,IT00400660445,https://www.tecuting.it/c044037,63858,Via Roma 21
43.2325226,13.6315802,Montegranaro,,,,,
42.9707330,13.5873048,Montedinove,comune.montedinove@emarche.it,IT00360220446,comune.montedinove.ap.it,63069,"Via Roma, 2"
43.0518954,13.7527903,Montefiore dell'Aso,segreteriamfa@emarche.it,IT00291360444,https://www.comune.montefioredellaso.ap.it,63062,"Piazza Della Repubblica, 2"
43.0677520,13.5556840,Monsampietro Morico,comune@pec.monsampietromorico.net,IT81001450444,https://www.tecuting.it/c044030/hh/index.php,63842,"Via Umberto I, N. 33"
43.0300520,13.6059860,Ortezzano,,,,,
43.1206530,13.4875820,Monte Vidon Corrado,certificata@pec.comune.montevidoncorrado.fm.it,IT81001330448,https://www.comune.montevidoncorrado.fm.it,63836,Piazza Osvaldo Licini N. 7
