latitude,longitude,name,email,postcode,website,ref:vatin,addr
44.6401393,9.0618536,Mongiardino Ligure,,,,,
44.8283471,9.0058111,Casasco,,,,,
45.0748677,8.3911849,Cella Monte,cellamonte@pec.comune.cellamonte.al.it,15034,http://www.comune.cellamonte.al.it,IT00467190062,"Via Barbano Dante, 30"
44.8207134,8.8916301,Paderna,comunedipaderna@pec.it,15050,http://www.comune.paderna.al.it,IT00444590061,Piazza Castello 1
44.8068928,8.9001791,Carezzano,protocollo@pec.comune.carezzano.al.it,15051,,IT00412460065,"Piazza Municipio, 1"
44.8128540,9.0402560,Brignano del Curone,,,,,
44.6015440,8.5634490,Cassinelle,cassinelle@pcert.it,15070,http://www.comune.cassinelle.al.it,IT00450080064,"Via Colombara,41"
45.1213540,8.2138320,Cerrina Monferrato,,,,,
45.0716520,8.2060330,Odalengo Piccolo,odalengopiccolo@pec.comune.odalengopiccolo.al.it,15020,http://www.comune.odalengopiccolo.al.it,IT00447810060,"Piazza Piemonte, 1"
44.8417760,8.9630083,Montegioco,protocollo@pec.comune.montegioco.al.it,15050,http://www.comune.montegioco.al.it,IT00460500069,"Frazione Palazzo, 20"
44.6250460,8.6612510,Belforte Monferrato,belfortemonferrato@pecpro.it,15070,http://www.comune.belfortemonferrato.al.it,IT00382120061,"Via San Colombano, N. 3"
44.7181520,9.0449580,Cantalupo Ligure,comunecantalupo@pec.it,15060,http://www.comune.cantalupoligure.al.it,IT83000750063,"Via Umberto I,19"
44.8349500,8.6249460,Casal Cermelli,,,,,
44.6582480,8.8315540,Carrosio,carrosio@cert.ruparpiemonte.it,15060,https://www.comune.carrosio.al.it,IT83000350062,Via Gian Carlo Odino N. 71
44.8999639,8.4362123,Felizzano,protocollo@pec.comune.felizzano.al.it,15023,http://www.comune.felizzano.al.it,IT00452900061,Piazza Paolo Ercole N.2
44.8164301,8.9268719,Costa Vescovato,amministrazione@pec.comune.costavescovato.al.it,15050,http://www.comune.costavescovato.al.it/,IT00460490063,"Piazza Aldo Moro, 1"
45.1334110,8.5339427,Frassineto Po,protocollo@pec.comune.frassinetopo.al.it,15040,http://www.comune.frassinetopo.al.it,IT82001150067,Piazza Municipio 6
44.7346490,8.7312510,Francavilla Bisio,protocollo.francavilla.bisio@cert.ruparpiemonte.it,15060,http://www.comune.francavillabisio.al.it,IT00412910069,"Via Roma, 10"
44.6964500,8.9654560,Grondona,protocollo@pec.comune.grondona.al.it,15060,http://www.comune.grondona.al.it,IT83000970067,"Via Vittorio Emanuele II, 6"
45.1328540,8.2503330,Mombello Monferrato,,,,,
44.8384452,9.0353171,Momperone,segreteria@pec.comunemomperone.it,15050,http://www.comunemomperone.it,IT00498460062,Piazza I Maggio 2
45.1547598,8.1614216,Moncestino,,,,,
44.7608500,8.7895510,Novi Ligure,protocollo@pec.comunenoviligure.it,15067,http://www.comune.noviligure.al.it,IT00160310066,"Via Giacometti,22"
44.7664530,9.1049580,Montacuto,protocollo@pec.comune.montacuto.al.it,15050,http://www.comune.montacuto.al.it,IT85000890062,Via Capoluogo 1
44.6671470,8.7301520,Montaldeo,montaldeo@cert.ruparpiemonte.it,15060,http://www.comune.montaldeo.al.it,IT00413650060,"Via Ambrogio Doria, 93"
44.8483380,8.9936102,Montemarzino,montemarzino@cert.ruparpiemonte.it,15050,http://www.comune.montemarzino.al.it,IT00460510068,"Via Iv Novembre, 9"
45.0373877,8.3675266,Olivola,olivola@pec.comune.olivola.al.it,15030,http://www.comune.olivola.al.it,IT00453320061,"Via Vittorio Veneto, 3"
44.9437992,8.6701395,Pietra Marazzi,info@pec.comune.pietramarazzi.al.it,15040,http://www.comune.pietramarazzi.al.it,IT00368620068,"Piazza Umberto I, 1"
44.9897550,8.6709450,Pecetto di Valenza,,,,,
44.7951536,8.7848493,Pozzolo Formigaro,infopozzolo@legalmail.it,15068,http://www.comune.pozzoloformigaro.al.it,IT00251200069,"Piazza Castello, 1"
45.0848530,8.2655340,Ponzano Monferrato,ponzanomonferrato@pec.comune.ponzanomonferrato.al.it,15020,http://www.comune.ponzanomonferrato.al.it,IT00444840060,Piazza Marconi 1
44.8963500,8.4049410,Quattordio,protocollo@pec.comune.quattordio.al.it,15028,http://www.comune.quattordio.al.it,IT00451590061,Via Civalieri 13
44.7255798,8.8547001,Serravalle Scrivia,,,,,
44.9941540,8.5659420,San Salvatore Monferrato,segreteriasansalvatoremonferrato@pcert.postecert.it,15046,http://www.ssalvatoreinrete.it/,IT80005590064,Piazza Carmagnola 26
44.7858161,9.0646537,San Sebastiano Curone,responsabilesscurone@postecert.it,15056,http://www.comunesansebastianocurone.it,IT00438190068,"Piazza Roma, 7"
44.9055070,8.9186164,Viguzzolo,protocollo@pec.comune.viguzzolo.al.it,15058,http://www.comune.viguzzolo.al.it,IT00430330068,"Via Roma, 9"
45.1290540,8.2832340,Solonghello,info.comune.solonghello.al@legalmail.it,15020,http://www.comune.solonghello.al.it,IT00450150065,"Piazza Castello, 1"
44.5431410,8.3339460,Spigno Monferrato,spigno.monferrato@cert.ruparpiemonte.it,15018,http://www.comune.spignomonferrato.al.it,IT00405270067,P.zza Garibaldi N. 18
44.8676119,8.9126635,Sarezzano,protocollo@pec.comune.sarezzano.al.it,15050,http://www.comune.sarezzano.al.it,IT00433920063,"Piazza Sarzano, 1"
44.6922480,8.7501520,San Cristoforo,protocollo.san.cristoforo@cert.ruparpiemonte.it,15060,http://www.comune.sancristoforo.al.it,IT00377050067,"Via Irmo Ferrari, 16C"
44.9806560,8.8093480,Sale,sale@cert.ruparpiemonte.it,15045,http://www.comune.sale.al.it,IT00409960069,"Via Alessandro Manzoni, 1"
44.6714470,8.6484500,Rocca Grimalda,,,,,
44.8153520,8.8572520,Villalvernia,villalvernia@pcert.it,15050,,IT00397670068,"Via Roma,12"
44.6616460,8.5861490,Trisobbio,trisobbio@cert.ruparpiemonte.it,15070,http://www.comune.trisobbio.al.it,IT00385200068,"Via De Rossi, 20"
44.6704450,8.4216450,Terzo,comune.terzo.al@pec.it,15010,http://www.comune.terzo.al.it/,IT00432280063,Via Gallaretto 11
44.7285490,8.7715520,Tassarolo,,,,,
44.8373530,8.8737520,Spineto Scrivia,spineto.scrivia@cert.ruparpiemonte.it,15050,http://www.comune.spinetoscrivia.al.it,IT00444580062,Piazza IV Novembre 1
44.8924951,8.9600600,Volpeglino,info@pec.comune.volpeglino.al.it,15050,http://www.comune.volpeglino.al.it,IT00411690068,"Via Stazione, 6"
44.7023510,9.0661580,Albera Ligure,,,,,
45.0016337,8.7346236,Bassignana,comunebassignana@postecert.it,15042,http://www.comune.bassignana.al.it,IT00377090063,Via Cavour N. 8
44.7099475,8.8912621,Vignole Borbera,protocollo@pec.comune.vignoleborbera.al.it,15060,http://www.comune.vignoleborbera.al.it,IT92007180067,"Viale Vochieri, 2"
45.0140247,8.6458214,Valenza,comune@cert.comune.valenza.al.it,15048,http://www.comune.valenza.al.it,IT00314770066,"Via Pellizzari, 2"
45.1347252,8.1702907,Villamiroglio,villamiroglio@cert.ruparpiemonte.it,15020,http://www.comune.villamiroglio.al.it,IT82003100060,"Piazza San Vito, 1"
44.8496530,8.8877520,Villaromagnano,protocollo@pec.comune.villaromagnano.al.it,15050,http://www.comune.villaromagnano.al.it,IT00465340065,"Piazza XXV Aprile, 1"
44.7661658,8.8631749,Cassano Spinola,protocollo.cassano.spinola@cert.ruparpiemonte.it,15063,http://www.comune.cassanospinola.al.it,IT02558190068,"Piazza XXVI Aprile, 11"
44.7982682,8.9304784,Castellania Coppi,,,,,
44.9057264,8.9482890,Castellar Guidobono,protocollo@pec.comune.castellarguidobono.al.it,15050,http://www.comune.castellarguidobono.al.it,IT00457850063,Piazza San Tomaso 1
44.8362500,8.5385450,Borgoratto Alessandrino,comune.borgoratto@pec.it,15013,http://www.comune.borgoratto.al.it,IT00433100062,Piazza Roma 5
44.8255510,8.6772480,Bosco Marengo,protocollo@pec.comune.boscomarengo.al.it,15062,http://www.comune.boscomarengo.al.it,IT00366320067,"Via San Pio V, 4"
44.6737510,9.0957600,Cabella Ligure,,,,,
