lat,lon,name,addr,postcode,website,ref:vatin,email
41.0135310,16.7084830,Grumo Appula,"Piazza Vittorio Veneto, 8",70025,https://www.comune.grumoappula.ba.it,IT00836680728,areaamministrativa@pec.comune.grumoappula.ba.it
40.9171260,16.2547740,Poggiorsini,Piazza Aldo Moro,70020,https://www.comune.poggiorsini.ba.it,IT00822970729,poggiorsini@pec.it
41.0503200,16.9167417,Capurso,Largo S. Francesco,70010,https://www.comune.capurso.bari.it,IT80015110721,protocollo.capurso@pec.it
41.0445320,16.8251850,Bitritto,Piazza Leone N. 14,70020,https://www.comune.bitritto.ba.it,IT00821080728,affarigenerali@pec.comune.bitritto.ba.it
40.9571310,16.9203880,Casamassima,"Piazza Aldo Moro, 2",70010,https://www.comune.casamassima.ba.it,IT80012570729,comune.casamassima@pec.it
40.7946798,17.1235566,Noci,"Via Sansonetti, 15",70015,https://www.comune.noci.ba.it,IT82001750726,ufficioaffarigenerali.comune.noci@pec.rupar.puglia.it
40.4973270,17.6413100,Oria,Via Epitaffio,72024,https://www.comune.oria.br.it,IT80001550740,protocollo.comune.oria@pec.rupar.puglia.it
41.3961280,15.1944440,Biccari,"Piazza Municipio, 1",71032,https://www.comune.biccari.fg.it,IT82000390714,comune@pec.comune.biccari.fg.it
41.8442420,15.8561530,Carpino,"Via Mazzini, 44",71010,https://http://www.comunecarpino.it,IT84001810716,info@pec.comunecarpino.it
41.8384462,15.5653375,San Nicandro Garganico,"Corso Garibaldi, 54",71015,https://www.comune.sannicandrogarganico.fg.it,IT84001770712,protocollo.sannicandrog@cittaconnessa.it
41.4327280,15.1230420,Alberona,Via Stradale Lucera,71031,https://www.comune.alberona.fg.it,IT82000870715,protocollo@pec.dauniavalley.it
41.7101410,16.0515590,Mattinata,"Corso Matino, 68",71030,https://www.comune.mattinata.fg.it,IT83001290713,comunemattinata@pec.it
41.1654240,15.2580480,Monteleone di Puglia,"Piazza Municipio, 5",71020,https://www.comune.monteleonedipuglia.fg.it,IT94012430719,comune.monteleonedipuglia.fg@anutel.it
