CODICESCUOLA,Provincia,DENOMINAZIONESCUOLA,description:it
UDEE823031,UD,Forni di Sotto,Scuola Primaria
PNAA82902N,PN,S.Vito T-prodoloned.A.D'andrea,Scuola Infanzia
UDEE856049,UD,La Nostra Famiglia-pasian di P.,Scuola Primaria
GOEE81104T,GO,S.Michele D. Carso - L. Slovena,Scuola Primaria
UDAA83103P,UD,Remanzacco (capoluogo),Scuola Infanzia
PNEE80802T,PN,Aviano-giais E.De Amicis,Scuola Primaria
PNEE81309L,PN,TRAMONTI DI SOTTO-MATAN,SCUOLA PRIMARIA
TSPS03000B,TS,Guglielmo Oberdan,Liceo Scientifico
UDEE82301V,UD,Via Nazionale - Ampezzo,Scuola Primaria
PNPS010008,PN,Ls M. Grigoletti,Liceo Scientifico
GOPC009014,GO,Sezione Classica Monfalcone,Liceo Classico
PNEE81204G,PN,"ERTO CASSO ""C. BATTISTI""",SCUOLA PRIMARIA
GOEE80303T,GO,Duca D'aosta,Scuola Primaria
UDAA83104Q,UD,Celestina Blanchini - Moimacco,Scuola Infanzia
UDRI01401T,UD,Ipsia A. Candoni Tolmezzo,Istituto Professionale Industria e Artigianato
UDAA81701A,UD,Colloredo di Montalbano,Scuola Infanzia
UDAA81703C,UD,Plaino,Scuola Infanzia
UDMM82302V,UD,M.Davanzo - Ampezzo,Scuola Primo Grado
GOIC801002,GO,Celso Macor,Istituto Comprensivo
PNAA82901L,PN,S.Vito Tagl- Ligugnanarodari,Scuola Infanzia
UDTF01651Q,UD,SEZIONE SERALE ITI MALIGNANI UDINE,ISTITUTO TECNICO INDUSTRIALE
GOAA81104L,GO,Via Capitello In Lingua Slovena,Scuola Infanzia
PNAA80802L,PN,Budoia-dardago Giovanni Xxiii,Scuola Infanzia
UDAA83102N,UD,Premariacco/ipplis,Scuola Infanzia
PNIC813006,PN,I.C. Valli Meduna-cosa-arzino,Istituto Comprensivo
UDEE856027,UD,Ippolito Nievo - Colloredo,Scuola Primaria
TSTD030007,TS,Ziga Zois-l.Ins.Slovena,Istituto Tecnico Commerciale e per Geometri
TSEE800036,TS,G. Pascoli,Scuola Primaria
GOMM80901N,GO,Marco Polo,Scuola Primo Grado
GORI01101C,GO,Ist. Prof. Manutenzione Ed Ass. Tecnica,Istituto Professionale Industria e Artigianato
UDAA82306V,UD,Lauco,Scuola Infanzia
PNAA812028,PN,Claut,Scuola Infanzia
UDEE81704P,UD,Dino Virgili - Martignacco,Scuola Primaria
UDMM81701E,UD,G.B. Tiepolo - Pagnacco,Scuola Primo Grado
TSEE81702E,TS,F.Finzgar - L.Ins.Slovena,Scuola Primaria
UDPS016018,UD,Sede Ass. Iti Ud,Liceo Scientifico
UDTF01602B,UD,Sede Ass. Iti Ud,Istituto Tecnico Industriale
GOAA80901D,GO,Monsignor Silvano Fain,Scuola Infanzia
UDAA856022,UD,Pasian di Prato-passons,Scuola Infanzia
PNEE80801R,PN,Aviano-villotta C. Cristofori,Scuola Primaria
PNEE81303A,PN,Sequals-cap. Dante Alighieri,Scuola Primaria
PNIS007003,PN,Isis P.Sarpi,Istituto Superiore
TSSD01000L,TS,Enrico e Umberto Nordio,Istituto d'Arte
PNTF01000A,PN,Itst Kennedy,Istituto Tecnico Industriale
UDIC85700X,UD,Iii - Udine,Istituto Comprensivo
GOPS009017,GO,Michelangelo Buonarroti,Liceo Scientifico
PNEE81307E,PN,Meduno A.Manzoni,Scuola Primaria
GOAA80304N,GO,Via Cellottini,Scuola Infanzia
UDMM83102T,UD,I. Nievo - Remanzacco,Scuola Primo Grado
UDMM822012,UD,G. Marconi - Rivignano,Scuola Primo Grado
UDRI014517,UD,CORSO SERALE IPSIA TOLMEZZO,IST PROF INDUSTRIA E ARTIGIANATO
UDAA81702B,UD,Moruzzo,Scuola Infanzia
TSAA817029,TS,Di Barcola - L.Ins.Slovena,Scuola Infanzia
PNEE830034,PN,Pordenone-v.Goldonia.Rosmini,Scuola Primaria
UDIC81700D,UD,Pagnacco - Martignacco,Istituto Comprensivo
UDEE822024,UD,G. Pascoli - Teor,Scuola Primaria
UDAA856011,UD,Santa Caterina,Scuola Infanzia
UDIS01700N,UD,Isis Bonaldo Stringher,Istituto Superiore
PNEE80804X,PN,Aviano-cap. G. Marconi,Scuola Primaria
TSAA80702P,TS,Allegri Folletti,Scuola Infanzia
PNEE81310P,PN,Fanna Aristide Gabelli,Scuola Primaria
TSAA818036,TS,J. Kosuta - L.Ins.Slovena,Scuola Infanzia
GOEE806017,GO,C. Collodi,Scuola Primaria
PNAA813068,PN,Tramonti di Sotto - Matan,Scuola Infanzia
PNRI00701P,PN,Istituto Professionale G.Freschi,Istituto Professionale Industria e Artigianato
UDEE857045,UD,Dante Alighieri,Scuola Primaria
UDAA82203X,UD,Scuola Infanzia Pocenia/torsa,Scuola Infanzia
UDEE81701G,UD,Pagnacco,Scuola Primaria
GOPC002019,GO,Primoz Trubar (lingua Slovena),Liceo Classico
GOTH01101R,GO,I.T. Trasporti e Logistica,Istituto Tecnico Nautico
PNAA813046,PN,Sequals-lestans Monumento Cad.,Scuola Infanzia
UDEE81702L,UD,Moruzzo,Scuola Primaria
UDRC01701L,UD,Ipscar B. Stringher Udine,Istituto Professionale per i Servizi Commerciali
TSMM81701C,TS,Ss.Cirillo e Metodio-l.Ins.Slov,Scuola Primo Grado
PNIC80800P,PN,Ic Aviano,Istituto Comprensivo
PNEE813018,PN,Travesio D.Cernazai,Scuola Primaria
UDIS01600T,UD,Isis A. Malignani Udine,Istituto Superiore
UDEE856038,UD,Guglielmo Marconi - Passons,Scuola Primaria
TSMM80701T,TS,Giancarlo Roli,Scuola Primo Grado
TSIC818007,TS,Ic Opicina-opcine-l.Ins.Slov.,Istituto Comprensivo
PNIS00800V,PN,Istituto Istruzione Superiore F. Flora,Istituto Superiore
GOEE806028,GO,G. Venezian,Scuola Primaria
UDMM857011,UD,Manzoni - Udine,Scuola Primo Grado
GOIS01100R,GO,I.S.I.S. S. Pertini Monfalcone,Istituto Superiore
UDTF01601A,UD,Iti A. Malignani Udine,Istituto Tecnico Industriale
TSIC81700B,TS,Ic V. Bartol-l.Ins.Slov.,Istituto Comprensivo
TSEE80702X,TS,Anna Frank,Scuola Primaria
PNAA813013,PN,Pinzano T.-valeriano Trieste,Scuola Infanzia
UDAA85703V,UD,Udine/ L. Pecile,Scuola Infanzia
PNTD00751P,PN,IST.TECN.ECON.SARPI SERALE,ISTITUTO TECNICO COMMERCIALE
UDRC017512,UD,SEZIONE SERALE IPSCAR STRINGHER UDINE,IST PROF PER I SERVIZI COMMERCIALI
UDEE851046,UD,Dante Alighieri,Scuola Primaria
PNEE808051,PN,"BUDOIA ""G. MARCONI""",SCUOLA PRIMARIA
GOAA80701T,GO,Gianni Rodari,Scuola Infanzia
PNAA813024,PN,Vito D'asio-casiacco Marin,Scuola Infanzia
UDEE81703N,UD,Colloredo di Monte Albano,Scuola Primaria
UDEE857023,UD, Lea D'orlandi ,Scuola Primaria
TSEE81806E,TS,A.Gradnik - L.Ins.Slovena,Scuola Primaria
GORI00301D,GO,L. Da Vinci,Istituto Professionale Industria e Artigianato
GOTF006528,GO,I.T.I. MARCONI - SERALE,ISTITUTO TECNICO INDUSTRIALE
PNEE82002C,PN,S.Giorgio Richinv.E.De Amicis,Scuola Primaria
UDEE857034,UD,Quattro Novembre,Scuola Primaria
UDMM81702G,UD,Sms D.Virgili - Martignacco,Scuola Primo Grado
TSEE807042,TS,Don L. Milani,Scuola Primaria
TSAA80704R,TS,Stelle Alpine,Scuola Infanzia
TSEE81703G,TS,F.Milcinski - L.Ins.Slovena,Scuola Primaria
PNMM80801Q,PN,Padre Marco D'aviano,Scuola Primo Grado
PNEE814025,PN,Pasiano-cecchinim.T.Dicalcutta,Scuola Primaria
