Comune,Cap,Indirizzo
Messina,98124,Via G. La Farina 336
Spadafora,98048,Via Vittorio Emanuele II.44
Messina,98123,Via Luciano Manara Is. 125 27
SantAgata di Militello,98076,Via Medici 259
Barcellona Pozzo Di Gotto,98051,Via Strada Statale S.antonino 461
Messina,98158,Contrada Papardo
Messina,98124,Via Consolare Valeria 1
Messina,98122,Via Vittorio Emanuele Ii 27
Messina,98123,Via La Farina 263
Messina,98122,Corso Cavour 86
Messina,98122,Via Cavalieri Della Stella 21
Messina,98129,Centro Direzionale Polo Artigianale Larderia
Messina,98122,Piazza Cavallotti 3
Messina,98122,Via Universita 2
Messina,98123,Via Luciano Manara 54
Messina,98168,Polo Universitario Annunziata
Piraino,98060,Piazza Quasimodo
Messina,98121,Piazza Unita Ditalia Villa Mazzini
Patti,98066,Piazza Mario Sciacca 2
Capo dOrlando,98071,Via Liberta 10
Pagliara,98020,Via R. Margherita 92
Messina,98100,Piazza Pugliatti 1
Malfa,98050,Via Nazionale 10
Patti,98066,Via XX Settembre 110
Pagliara,98020,Via R. Margherita 92
Pagliara,98020,Via R. Margherita 92
Pagliara,98020,Via R. Margherita 92
Tusa,98079,Via Nazionale Snc
Messina,98122,Contrada Scoppo
Messina,98125,Viale Giuseppe Motta
Messina,98122,Palazzo Dei Leoni Corso Cavour 86
Messina,98123,Via Xxvii Luglio 34 Is. 195
Patti,98066,Via Molino Croce 1
Messina,98123,Via Trento 1/d
Messina,98123,Via Maddalena 11
Messina,98124,Viale Europa is..47 83
Messina,98121,Via GARIBALDI 439
Patti,98066,Via Vittorio Emanuele 52
Patti,98066,Via Monte Pieta 5
Pagliara,98020,Via R. Margherita 92
Ali,98020,Via Roma 45
Ali Terme,98021,Via Francesco Crispi 289
Antillo,98030,Piazza Maria Ss. Della Provvidenza
Barcellona Pozzo di Gotto,98051,v. Don Bosco
Basico,98060,Piazza Santa Maria 10
Brolo,98061,Via Dante
Capizzi,98031,Piazza San Giacomo Apostolo Maggiore 10
Capo dOrlando,98071,Via Vittorio Emanuele
Capri Leone,98070,Via S. Antonio 1 Capri Leone(Me)
Caronia,98072,Piazza Idria 1
Casalvecchio Siculo,98032,Piazza Dei Caduti
CastellUmberto,98070,Via Garibaldi 27
Castel di Lucio,98070,Via Salvo DAcquisto 1
Castelmola,98030,Via Alcide De Gasperi
Castroreale,98053,Piazza Pertini
Cesaro,98033,Corso Margherita 2
Condro,98040,Via Roma 42
Falcone,98060,Via Alcide De Gasperi 4
Ficarra,98062,Piazza Piersanti Mattarella 5
Fiumedinisi,98022,Via Umberto I
Floresta,98030,Via Umberto I 115
Fondachelli-Fantina,98050,Via Col. Mastroeni
Forza dAgro,98030,Piazza Giovanni XXIII
Francavilla di Sicilia,98034,Piazza Ss. Annunziata 3
Frazzano,98070,Via Umberto Primo 24
Furci Siculo,98023,Via Roma 56
Furnari,98054,Via Degli Uffici
Gaggi,98030,Via Regina Margherita 84/A
Galati Mamertino,98070,Via Roma 90
Gallodoro,98030,Piazza S. Maria 1
Giardini-Naxos,98035,Piazza Abate Cacciola Snc
Gioiosa Marea,98063,Via Giuseppe Natoli Gatto 115
Graniti,98036,Piazza Maria Grazia Cutuli
Gualtieri Sicamino,98040,Piazza Duomo
Itala,98025,Via Umberto I
Leni,98050,Via Liberta
Letojanni,98037,Via Vittorio Emanuele 115
Librizzi,98064,Piazza Catena 4
Limina,98030,Piazza XXV Aprile
Lipari,98055,Piazza Mazzini 1
Longi,98070,Via Roma 2
Malfa,98050,Via Roma 122
Malvagna,98030,Piazza Castello 8
Mandanici,98020,Via Roma 20
Mazzarra SantAndrea,98056,Corso Principe Umberto
Meri,98040,Piazza Municipio
Messina,98122,Piazza Unione Europea
Milazzo,98057,v. F. Crispi 1
Militello Rosmarino,98070,c/da S. Maria
Mirto,98070,Via Ugo Bassi Mirto (Me)
Mistretta,98073,Via Liberta 249
Moio Alcantara,98030,Piazza Municipio1
Monforte San Giorgio,98041,Via Immacolata 1
Mongiuffi Melia,98030,Piazza San Nicolo 8
Montagnareale,98060,Via Vittorio Emanuele
Montalbano Elicona,98065,Piazza Maria Ss Della Provvidenza
Motta Camastra,98030,Piazza Croce 1
Motta dAffermo,98070,Piazza San Luca
Naso,98074,Piazza Roma 10
Nizza di Sicilia,98026,Via Umberto I 376
Novara di Sicilia,98058,Piazza Girolamo Sofia 2
Oliveri,98060,Piazza Luigi Pirandello
Pace del Mela,98042,Piazza Municipio
Pagliara,98020,Via Regina Margherita 92
Patti,98066,Piazza Scafidi N1
Pettineo,98070,Via Garibaldi 35
Piraino,98060,Via Dante Alighieri 7
Raccuja,98067,Piazza 2 Giugno 1
Reitano,98070,Via San Pietro 5
Roccavaldina,98040,Via Roma3
Roccafiorita,98030,Piazza Autonomia 1
Roccalumera,98027,Piazza M.F.M Di Francia
Roccella Valdemone,98030,Via Umberto I 28
Rodi Milici,98059,Piazza Martino 1
Rometta,98043,Piazza Margherita
San Filippo del Mela,98044,Via Francesco Crispi
San Fratello,98075,Via Serpi
San Marco dAlunzio,98070,Via Garibaldi
San Pier Niceto,98045,Via Diaz 20
San Piero Patti,98068,Piazza De Gasperi
San Salvatore di Fitalia,98070,Via Colonnello Musarra 9
Santa Domenica Vittoria,98030,Piazza Aldo Moro 29
SantAgata di Militello,98076,Via Medici
SantAlessio Siculo,98030,Via Consolare Valeria
Santa Lucia del Mela,98046,Viale Pietro Nenni
Santa Marina Salina,98050,Via Risorgimento 174
SantAngelo di Brolo,98060,Via 1 Settembre
Santa Teresa di Riva,98028,Piazza Quinto Reggimento Aosta
San Teodoro,98030,Via Vittorio Emanuele 13
San Teodoro,98030,Via Vittorio Emanuele
Santo Stefano di Camastra,98077,Via Palazzo 35
Saponara,98047,Piazza Matrice
Savoca,98038,Piazza Gabriele DAnnunzio
Scaletta Zanclea,98029,Piazza Municipio
Sinagra,98069,Piazza S. Teodoro 1
Spadafora,98048,Piazza V.emanuele n 44
Taormina,98039,c.so Umberto 217
Torregrotta,98040,Via Mezzasalma 27
Tortorici,98078,Viale Rosario Livatino snc
Tripi,98060,Via Francesco Todaro 63
Tusa,98079,Via Alesina 36
Ucria,98060,Piazza Castello 14
Valdina,98040,Via Torre 2
Venetico,98040,Via Roma 7
Villafranca Tirrena,98049,Via Don Luigi Sturzo 3
Terme Vigliatore,98050,Via Del Mare69
Acquedolci,98070,Piazza Vittorio Emanuele III
Torrenova,98070,Via Benedetto Caputo
Alcara li Fusi,98070,Via Della Rinascita 16
Taormina,98039,Via Fazzello
Caronia,98072,Contrada Pietragrossa Ss 113
Francavilla di Sicilia,98034,Via Dei Mulini
Messina,98122,Via Ghibellina 146
Milazzo,98057,Contrada Baronia 338
Messina,98122,Sacro Cuore Di Gesu
Messina,98122,Via E. L. Pellegrino Is. 176
