ref:ISIL,ref:SBN,name,addr,postcode,city,latitudine,longitudine,telefono,fax,mail1,website
IT-BO0001,UBOAE,"Biblioteca comunale ""Edmondo De Amicis""",piazza Giovanni XXIII 2,40011,Anzola dell'Emilia,44.5469884,11.1934419,+39 0516502222,+39 0516502223,biblioteca@comune.anzoladellemilia.bo.it,http://www.bibliotecanzola.it
IT-BO0002,UBONA,Biblioteca comunale di Funo,"Via Don Francesco Pasti, 80",40050,Argelato,44.5885275,11.3665739,+39 0516634624,,biblioteca.funo@renogalliera.it,http://www.comune.argelato.bo.it/servizi/Menu/dinamica.aspx?idSezione=1009&idArea=6597&idCat=6604&ID=1205&TipoElemento=pagina#
IT-BO0003,UBOAQ,Biblioteca comunale Antonio Gramsci,Via Europa 3,40052,Baricella,44.644897,11.5335249,+39 0516622438,,biblioteca@comune.baricella.bo.it,https://www.comune.baricella.bo.it/it-it/servizi/vivere-il-tempo-libero-e-la-cultura-c/biblioteca-132-35-1-bab4c5adfc74c53e0771c83e6543fd2a?servizi-culturali-5771#hservizi-culturali
IT-BO0006,UBOAU,"Biblioteca comunale ""Remo Dotti""",via Marconi 5,40010,Bentivoglio,44.6349034,11.4208069,+39 0516643592,+39 0516640803,biblioteca.be@renogalliera.it,http://www.comune.bentivoglio.bo.it/servizi/menu/dinamica.aspx?ID=2136
IT-BO0174,UBOBO,Biblioteca comunale Mario Visani,"via Giovanni XXIII, 11",40021,Borgo Tossignano,44.27678359999999,11.5935147,+39 054290220,+39 054294414,biblioteca@comune.borgotossignano.bo.it,http://www.comune.borgotossignano.bo.it/uffici/biblioteca-comunale
IT-BO0175,UBOBZ,Biblioteca comunale Augusto Majani-Nasica,via G. Garibaldi 39,40054,Budrio,44.5375349,11.5375219,+39 051801220,+39 051808106,biblioteca@comune.budrio.bo.it,http://www.comune.budrio.bo.it/ita/docs/cultura/homebiblio.htm
IT-BO0176,UBOCV,"Biblioteca comunale ""Rinaldo Veronesi""",via Roma 27,40012,Calderara di Reno,44.5651109461585,11.2720295925903,+39 0516461247,,biblioreno@comune.calderaradireno.bo.it,http://www.comune.calderaradireno.bo.it/aree-tematiche/cultura-e-spettacolo/attivita-e-servizi/biblioteca-201cbiblioreno-rinaldo-veronesi201d
IT-BO0177,,Biblioteca comunale Paolo Guidotti,piazza Kennedy 1,40032,Camugnano,44.1690331,11.0877647,+39 053441722,+39 053446827,biblioteca@comune.camugnano.bo.it,http://www.comunecamugnano.gov.it/servizi/Menu/dinamica.aspx?idSezione=616&amp
IT-BO0178,UBOCH,Biblioteca comunale,"viale Andrea Costa, 27",40020,Casalfiumanese,44.2984446,11.6190778,+39 0542668035,+39 0542666251,biblioteca@comune.casalfiumanese.bo.it,http://www.comune.casalfiumanese.bo.it/aree-tematiche/biblioteca#null
IT-BO0179,,Biblioteca comunale Multimediale,"via Carlo Lenzi, 18",40034,Castel d'Aiano,44.280993,11.0007,+39 0516735711,+39 051914818,biblioteca@comune.casteldaiano.bo.it,http://www.comune.casteldaiano.bo.it/servizi/Menu/dinamica.aspx?idArea=16928&idCat=16934&ID=16964&TipoElemento=Categoria
IT-BO0180,UBOCT,Biblioteca comunale,"piazza della Repubblica, 96",40022,Castel del Rio,44.21272039999999,11.5046692,+39 054295906,+39 054295313,urp@comune.casteldelrio.bo.it,http://www.comune.casteldelrio.bo.it/uffici/biblioteca-1
IT-BO0181,UBOCU,Biblioteca comunale,"via Antonio Gramsci, 22",40023,Castel Guelfo di Bologna,44.4318052,11.6788383,+39 054253460,+39 054253082,biblioteca@comune.castelguelfo.bo.it,http://www.comune.castelguelfo.bo.it/default.asp?pag=biblioteca%5Chome
IT-BO0183,UBODQ,Biblioteca comunale Raffaele Orsi,"via Giacomo Matteotti, 150",40050,Castello d'Argile,44.68275,11.2967993,+39 0516868882,+39 0516868810,biblioteca.ca@renogalliera.it,http://www.comune.castello-d-argile.bo.it/main/main.asp?doc=08105
IT-BO0184,UBODM,Biblioteca comunale di Castello di Serravalle,via Sant' Apollinare 1352,40053,Valsamoggia,44.4407691,11.0654949,+39 0516710728,,biblioteca.castellodiserravalle@comune.valsamoggia.bo.it,
IT-BO0186,UBODI,Biblioteca comunale,Via Aldo Moro 31,40035,Castiglione dei Pepoli,44.1419254,11.1569137,+39 053491946,,biblioteca@comune.castiglionedeipepoli.bo.it,http://www.comune.castiglionedeipepoli.bo.it/servizi/Menu/dinamica.aspx?idArea=16879&idCat=20169&ID=20169
IT-BO0187,UBODH,Biblioteca comunale di Crespellano,Via Marconi 47,40053,Valsamoggia,44.5146270017165,11.1289295,+39 0516723059,,biblioteca.crespellano@comune.valsamoggia.bo.it,http://www.frb.valsamoggia.bo.it/biblioteche/
IT-BO0188,UBODR,Biblioteca comunale,"viale Caduti di via Fani, 302",40014,Crevalcore,44.71571369999999,11.14859,+39 051988552,+39 0516803580,biblioteca@comune.crevalcore.bo.it,
IT-BO0190,UBOBT,Biblioteca comunale,"piazza Libertà, 3",40060,Dozza,44.3834946,11.6382932,+39 0542673564,+39 0542678270,biblioteca@comune.dozza.bo.it,http://www.comune.dozza.bo.it/uffici/biblioteca
IT-BO0192,UBOBF,Biblioteca comunale La Fonte,"via Giuseppe Mengoni, 4/6",40025,Fontanelice,44.2591477,11.5602181,+39 054292855,+39 054293528,biblioteca@comune.fontanelice.bo.it,http://www.comune.fontanelice.bo.it/uffici/biblioteca
IT-BO0193,UBOGM,Biblioteca comunale,"piazza Arnaldo Brasa, 1",40041,Gaggio Montano,44.198485,10.936038,+39 053437664,+39 053437013,biblioteca.gaggio@cosea.bo.it,http://gaggio.wix.com/biblioteca
IT-BO0194,UBOAZ,Biblioteca comunale Giovanna Zangrandi,"via Dante Alighieri, 3A",40015,Galliera,44.73348,11.44031,+39 051815442,+39 051815560,biblioteca.ga@renogalliera.it,http://www.comune.galliera.bo.it/upload/galliera_ecm8/gestionedocumentale/Notizie%20sulla%20Biblioteca_784_2083.pdf
IT-BO0196,UBODT,Biblioteca comunale,"via Pietrafitta, 46",40030,Grizzana Morandi,44.257283,11.152177,+39 0516730329,+39 051913014,grizzana.biblioteca@gmail.com,http://www.comune.grizzanamorandi.bo.it/servizi/Menu/dinamica.aspx?idArea=16612&idCat=17033&ID=17033&TipoElemento=categoria
IT-BO0199,UBOBC,Biblioteca comunale,via Emilia 80,40026,Imola,44.3536525,11.7136724,+39 0542602636,+39 0542602602,bim@comune.imola.bo.it,http://www.bim.comune.imola.bo.it
IT-BO0204,UBOLO,Biblioteca comunale,via Roma 55,40050,Loiano,44.2701055,11.3220424,+39 0516543617,+39 0516545246,biblio@comune.loiano.bologna.it,
IT-BO0205,UBOEA,Biblioteca comunale,piazza Caduti della Resistenza 1,40051,Malalbergo,44.7190136,11.5315677,+39 0516620280,+39 0516620281,biblioteca@comune.malalbergo.bo.it,http://www.comune.malalbergo.bo.it/14/130/vivere-malalbergo/biblioteca.html
IT-BO0206,UBOMF,"Biblioteca comunale ""Casa della Cultura e della Memoria""",via Aldo Moro 2/a,40043,Marzabotto,44.3412242,11.2043552,+39 0516780501,+39 051931350,biblio@comune.marzabotto.bo.it,http://http://www.comune.marzabotto.bo.it/servizi/menu/dinamica.aspx?idArea=17075&amp
IT-BO0207,UBOFH,Biblioteca comunale,via Pillio 1,40059,Medicina,44.4763918,11.6394739,+39 0516979209,+39 0516979321,serviziculturali@comune.medicina.bo.it,http://www.comune.medicina.bo.it/moduli/ufficio.aspx?ID=1&amp
IT-BO0208,UBODV,Biblioteca comunale Prometeo,"piazza Carlo Alberto Dalla Chiesa, 1",40061,Minerbio,44.6222715,11.4872415,+39 0516611766,+39 051876144,biblioteca@comune.minerbio.bo.it,http://www.comune.minerbio.bo.it/uffici_servizi/-categoria2/pagina73.html
IT-BO0209,UBOMT,Biblioteca comunale Bjørnstjerne Bjørnson,"via Idice, 58a",40050,Monterenzio,44.35327160000001,11.4132724,+39 0516556104,+39 051929292,biblioteca@comune.monterenzio.bologna.it,https://www.comunemonterenzio.eu/go/servizi-persona/32-biblioteca-comunale
IT-BO0210,UBOMM,Biblioteca comunale Mario Marri,"via Casaglia, 1",40036,Monzuno,44.278092,11.270962,+39 0516770307,+39 0516770307,bibliomonzuno@comune.monzuno.bologna.it,http://www.comune.monzuno.bologna.it/news/read.asp?newsID=734
IT-BO0211,UBOMO,Biblioteca comunale,"via Borgo Generale Vitali, 12",40027,Mordano,44.3967374,11.8115129,+39 054252510,+39 054252510,bibliomordano@yahoo.com,http://www.comune.mordano.bo.it/uffici/biblioteca-1
IT-BO0212,UBOOZ,Biblioteca comunale 8 Marzo 1908,"piazza Salvador Allende, 18",40064,Ozzano dell'Emilia,44.443207,11.475675,+39 051791370,+39 0516521365,biblioteca@comune.ozzano.bo.it,http://www.comune.ozzano.bo.it/aree-tematiche/cultura-e-turismo/biblioteca-comunale
IT-BO0213,UBOEH,Biblioteca comunale,"piazza Andrea Costa, 10",40066,Pieve di Cento,44.7138911,11.306789,+39 0516862636,+39 051975533,biblioteca.pc@renogalliera.it,http://www.comune.pievedicento.bo.it/aree-tematiche/cultura-sport-sviluppoeconomico/cultura/istituti-culturali/biblioteca-comunale-1/biblioteca-comunale
IT-BO0216,UBOBQ,"Biblioteca comunale ""Gilberto Martinelli""",via Roma 32,40046,Alto Reno Terme,44.1518836,10.9804275,+39 053424205,+39 0534 24072,biblioteca@comune.altorenoterme.bo.it,http://www.comune.altorenoterme.bo.it/servizi/Menu/dinamica.aspx?idSezione=616&amp
IT-BO0217,UBOVA,Biblioteca comunale,"piazza Guglielmo Marconi, 5",40010,Sala Bolognese,44.6293994,11.2771779,+39 0516822541,,biblioteca@comune.sala-bolognese.bo.it,http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/servizio-cultura-sport-volontariato-politiche-giovanili/biblioteca-comunale-di-sala-bolognese
IT-BO0219,UBOTC,Biblioteca comunale Luigi Arbizzani,"piazza Indipendenza, 1",40016,San Giorgio di Piano,44.6463645,11.3758698,+39 0516638529,+39 0516638525,biblioteca.sg@renogalliera.it,https://comune.san-giorgio-di-piano.bo.it/scuola-biblioteca-servizi-sociali/biblioteca-e-cultura/
IT-BO0220,UBOGP,Biblioteca comunale Giulio Cesare Croce,piazza Garibaldi 7,40017,San Giovanni in Persiceto,44.6376266,11.1880915,+39 0516812961,+39 051827017,bibliocroce@comunepersiceto.it,http://www.comunepersiceto.it/gli-uffici-comunali/cultura/biblioteche-1
IT-BO0222,UBOEO,Biblioteca comunale Mario Luzi,"via Matteotti, 123",40018,San Pietro in Casale,44.7030171,11.4064872,+39 0516669536,,biblioteca.adulti.sp@renogalliera.it,http://www.comune.san-pietro-in-casale.bo.it/biblioteche-comunali/biblioteca-mario-luzi
IT-BO0224,UBOEN,"Biblioteca comunale ""Margherita Hack""",via Circondaria Est 23,40019,Sant'Agata Bolognese,44.6648392942517,11.1349130896187,+39 051957720,+39 0516818950,biblioteca@comune.santagatabolognese.bo.it,
IT-BO0226,UBOVM,Biblioteca comunale Mauro Lelli,"via Guglielmo Marconi, 49",40053,Valsamoggia,44.3888104,11.0735317,+39 0516708749,,biblioteca.savigno@comune.valsamoggia.bo.it,https://www.cittametropolitana.bo.it/cultura/Guida_Biblioteche_2/Biblioteca_Comunale_di_Savigno
IT-BO0227,UBOVE,Biblioteca comunale Paolo Guidotti,galleria I Maggio 86A,40038,Vergato,44.2795316,11.1127443,+39 + 39 051910559,+39 051912034,biblioteca@comune.vergato.bo.it,http://www.comune.vergato.bo.it/servizi/Menu/dinamica.aspx?idArea=16889&idCat=17491&ID=17491&TipoElemento=categoria
IT-BO0231,UBOOG,Biblioteca comunale Osteria Grande,"viale Broccoli, 41",40060,Castel San Pietro Terme,44.4228947,11.517201,+39 051945413,+39 051940064,biblioteca@cspietro.it,http://www.comune.castelsanpietroterme.bo.it/ufficio/1/14/5/biblioteche-comunali-e-archivio-storico
IT-BO0234,,Biblioteca comunale. Sala di lettura di Palata Pepoli,Via Provanone 4964,40014,Crevalcore,44.792253,11.2325882,+39 051985152,,,
IT-BO0238,,Biblioteca comunale Lionello Bertacci,Via Vittorio Veneto 10,40030,Castel di Casio,44.1626769,11.0370341,+39 053444133,+39 053444286,,
IT-BO0239,UBODA,Biblioteca comunale Cesare Pavese,Via Porrettana 360,40033,Casalecchio di Reno,44.4784566624666,11.2770696465576,+39 051598300,+39 051598200,biblioteca@comune.casalecchio.bo.it,https://www.comune.casalecchio.bo.it/contenuto/contenuti--ecm/casa-della-conoscenza--biblioteca.ashx
IT-BO0240,UBONG,Biblioteca comunale Natalia Ginzburg,via Bondanello 30,40013,Castel Maggiore,44.5786239,11.359249,+39 051713017,+39 0516321195,biblioteca.cm@renogalliera.it,http://www.comune.castel-maggiore.bo.it/servizi/menu/dinamica.aspx?idArea=3&amp
IT-BO0241,UBOBS,Biblioteca comunale,via Marconi 29,40024,Castel San Pietro Terme,44.3984485813191,11.5884710615157,+39 051940064,+39 0516949573,biblioteca@cspietro.it,http://www.cspietro.it/index.php?q=infocraft/testo_libero/177&amp
IT-BO0247,UBOMP,"Biblioteca comunale ""Peppino Impastato""",piazza della Pace 4,40050,Monte San Pietro,44.4575793,11.1996735,+39 0516764437,+39 0516764455,biblioteca@comune.montesanpietro.bo.it,https://www.comune.montesanpietro.bo.it/index.php/2016-01-30-11-40-40/biblioteca
IT-BO0248,UBOBH,Biblioteca comunale Mauro Zagnoni di Monteveglio,"piazza della Libertà, 12",40053,Valsamoggia,44.470425,11.10066,+39 0516702739,+39 0516702739,biblioteca.monteveglio@comune.valsamoggia.bo.it,http://www.biblioteche.valsamoggia.bo.it
IT-BO0249,,Biblioteca comunale. Sala di lettura Centro sociale di Borgonuovo di Pontecchio,"via Cartiera, 6",40044,Sasso Marconi,44.4458045,11.2728856,+39 051843584,+39 051840802,bibliosasso@comune.sassomarconi.bo.it,http://www.comune.sassomarconi.bologna.it/servizi/Menu/dinamica.aspx?idSezione=18737&idArea=18738&idCat=28386&ID=28457&TipoElemento=categoria
IT-BO0250,UBOEF,Biblioteca comunale,Piazza dei Martiri della Liberazione 3,40037,Sasso Marconi,44.3945747,11.245339000000058,+39 051843584,,bibliosasso@comune.sassomarconi.bo.it,http://www.comune.sassomarconi.bologna.it/servizi/Menu/dinamica.aspx?idSezione=18737&idArea=18740&idCat=5422&ID=5422
IT-BO0254,UBOZP,Biblioteca comunale,"piazza Guglielmo Marconi, 4",40069,Zola Predosa,44.4906224,11.2226268,+39 0516161800,+39 0516161800,biblioteca@comune.zolapredosa.bo.it,https://www.comune.zolapredosa.bo.it/il-comune/uffici-sedi-orari/biblioteca-comunale
IT-BO0257,UBOEE,Biblioteca comunale Severino Ferrari,"piazza Anselmo Martoni, 19/1",40062,Molinella,44.6208965,11.6698243,+39 0516906860,,biblio@comune.molinella.bo.it,http://www.comune.molinella.bo.it/vivere/biblio/servizi.aspx
IT-BO0258,,Biblioteca comunale Gastone Stefanini,"via Roma, 4",40048,San Benedetto Val di Sambro,44.2156131,11.2345547,+39 053495026,+39 053495595,paolo.barbi@unioneappennino.bo.it,http://www.comune.sanbenedettovaldisambro.bo.it/Main/Main.asp?doc=15212
