ref:ISIL,ref:SBN,name,addr,postcode,city,latitudine,longitudine,telefono,fax,mail1,website
IT-GO0002,,Biblioteca comunale,piazza VITTORIA 1,34070,Capriva del Friuli,45.9419755,13.5145197,+39 048180032,,BIOBCAPRIVA@LIBERO.IT,http://WWW.BIBLIOGO.IT
IT-GO0004,,Biblioteca comunale,"via Giacomo Matteotti, 77",34071,Cormons,45.9604023,13.473137,+39 0481637165,,biblioteca@com-cormons.regione.fvg.it,
IT-GO0008,,Biblioteca comunale,Via Zorutti 1,34070,Dolegna del Collio,46.0258145,13.4765935,+39 048160346,+39 048160346,,
IT-GO0010,,Biblioteca comunale,"via Zorutti, 1",34070,Farra d'Isonzo,45.90692689999999,13.5173328,+39 0481888569,,bibsar@ctm.it,http://consorzio:
IT-GO0012,,Biblioteca comunale,Via Madonnina 7,34070,Fogliano Redipuglia,45.8644142,13.4853012999999,+39 0481489051,,biblioteca@com-fogliano-redipuglia.regione.fvg.it,http://www.comune.foglianoredipuglia.go.it/portale/cms/Servizi/BibliotecaAssociazioni/
IT-GO0039,,Biblioteca comunale Eugenio Simonetti,via Scuole 2,34070,Medea,45.9166366,13.424917,+39048167012,,protocollo@comune.medea.go.it,http://www.comune.medea.go.it/home
IT-GO0043,,Biblioteca comunale,Via Mameli 22,34070,Moraro,45.9302483,13.4953051,+39 0481809008,+39 048180185,,http://bibliogo.it
IT-GO0045,,Biblioteca comunale,"via XXIV Maggio, 39",34070,Mossa,45.9384024,13.5518509,+39 3771665425,,biblioteca.mossa@libero.it,http://www.comune.mossa.go.it/portale/cms/Servizi/biblioteca
IT-GO0047,,Biblioteca comunale,"piazza Giuseppe Garibaldi, 6",34076,Romans d'Isonzo,45.892213,13.44181,+39 048190555,+39 0481908911,biblioteca.romancs@gmail.comcomune.romancs.go.it,http://www.comune.romans.go.it/index.php?id=9431
IT-GO0049,,Biblioteca comunale Sandro Pertini,"via Androna Palmada, 1",34077,Ronchi dei Legionari,45.8242678,13.5007114,+39 0481477205,,biblioronchi@yahoo.it,http://bibliogo.ccm.it/library/Ronchi-dei-Legionari/
IT-GO0052,,Biblioteca comunale,"via Dante Alighieri, 17",34078,Sagrado,45.8765844,13.4853208,+39048193308,+39 048199222,biblioteca@com-sagrado.regione.fvg.it,http://www.comune.sagrado.go.it/portale/cms/uffici-servizi/BibliotecaComunale/
IT-GO0055,,Biblioteca comunale,"largo Garibaldi, 34",34075,San Canzian d'Isonzo,45.8096016,13.4436043,+39 0481472324,,biblioteca@comune.sancanziandisonzo.go.it,http://bibliogo.ccm.it/library/pieris-s-canzian-d-is-/
IT-GO0058,,Biblioteca comunale,localita' Bivio 34,34070,San Floriano del Collio,45.978453,13.5833279,,,,
IT-GO0060,,Biblioteca comunale,via UDINE 21,34070,San Lorenzo Isontino,45.9307303,13.5261157,+39 0481809868,,bibliosl@libero.it,
IT-GO0062,,Biblioteca comunale,via Sauro 40,34070,San Pier d'Isonzo,45.8481428,13.4565906,+39048170796,,bibliospi@ccm.it,
IT-GO0066,,Biblioteca comunale,"Via Fratelli Zambon, 2",34079,Staranzano,45.8069704,13.4997804,+39 0481716990,,bibsta@ccm.it,https://bibliogo.ccm.it/library/biblioteca-comunale-staranzano/
IT-GO0068,,Biblioteca comunale,piazza Libertà 13,34070,Turriaco,45.8208878,13.4450727,+39 048176031,+39 0481767266,,
IT-GO0070,,Biblioteca comunale,"via Roma, 8",34070,Villesse,45.85965179999999,13.4380099,+39 048191679,,biblioteca@comune.villesse.gov.it,
IT-GO0072,,Biblioteca comunale,via MANZONI 54,34070,Mariano del Friuli,45.9158185,13.4587877,+39 048169203,+39 048169527,bibliomarianodf@tiscali.it,
IT-GO0073,,Biblioteca comunale. Sezione staccata L. Medeot,via Trieste 12,34075,San Canzian d'Isonzo,45.7972034,13.4659658,+39 0481767310,,,
IT-PN0010,,Biblioteca comunale,via ENRICO FERMI 2,33070,Brugnera,45.903188,12.5342534,+39 0434613112,+39 0434624559,biblioteca.brugnera@gmail.com,
IT-PN0021,,Biblioteca comunale,via Vittorio Veneto,33083,Chions,45.8624539,12.753043,+39 0434630009,+39 0434630368,,http://www.comune.chions.pn.it/index.php?id=15921
IT-PN0022,,Biblioteca comunale,"via Vittorio Emanuele II, 19",33080,Cimolais,46.2821187,12.4480734,+39 042787019,+39 042787020,biblioteca.cimolais@gmail.com,http://www.comune.cimolais.pn.it/index.php?id=14424&L=QiJmKFDc
IT-PN0046,,Biblioteca comunale,"largo Giovanni Clemente, 1",33087,Pasiano di Pordenone,45.84838939999999,12.6307822,+39 0434625714,+39 0434628363,biblioteca@comune.pasianodipordenone.pn.it,http://www.tagliamentosile.it/easyne2/biblioteche/biblioteca-civica-di-pasiano-di-pordenone/
IT-PN0047,,Biblioteca comunale,"via Tagliamento, 25",33094,Pinzano al Tagliamento,46.184368,12.94882,+39 0432950046,,biblioteca@comune.pinzanoaltagliamento.pn.it,http://www.sebico.it/easyne2/LYT.aspx?Code=BSS2&amp
IT-PN0049,,Biblioteca comunale,"via Fontana, 1",33070,Polcenigo,46.0330227,12.4922168,+39 043474001,,biblioteca@comune.polcenigo.pn.it,http://www.comune.polcenigo.pn.it/c093031/zf/index.php/uffici/index/detail/categoria/97/id/5
IT-PN0051,TSABP,Biblioteca comunale,Piazza XX Settembre 11,33170,Pordenone,45.9584881279952,12.6604963190491,+39 0434392970,,,http://www.comune.pordenone.it/it/comune/in-comune/strutture/biblioteca
IT-PN0058,,Biblioteca comunale Fabrizio De André,"piazza Roma, 1",33080,Roveredo in Piano,46.010398,12.61879,+39 043494156,,biblioteca@comune.roveredo.pn.it,http://www.comune.roveredoinpiano.pn.it/index.php?id=21720
IT-PN0069,,Biblioteca comunale,via G. Ciani 13,33090,Sequals,46.1632249437494,12.8909754753113,+39042791239,,bibliolestans@libero.it,http://www.sebico.it
IT-PN0095,,Biblioteca comunale. Sezione del Quartiere nord di Pordenone,via Ariete 8,33170,Pordenone,45.969916,12.6486702,+39 0434551416,,,
IT-PN0103,,Biblioteca comunale,via Roma 4,33090,Travesio,46.1950569617795,12.870397567749,+39042790232,,bibtrav@libero.it,http://www.vallidolomitifriulane.utifvg.it
IT-TS0098,TSAMU,Biblioteca comunale Edoardo Guglia,"via Roma, 10",34015,Muggia,45.6025684,13.7673093,+390403360418,+39 0409279056,nicola.soia@comunedimuggia.ts.it,http://www.comune.muggia.ts.it/index.php?id=6235&L=3
IT-TS0145,TSASA,Biblioteca comunale,Sales 66,34010,Sgonico,45.7458409,13.7222892,+39 040229533,,Zivka.persi@com-sgonico.regione.fvg.it,http://www.comune.sgonico.ts.it/index.php?id=8270
