street,postcode,city
Piazza Caduti,35031,Abano Terme
Via Matteotti,35031,Abano Terme
Via Monteortone,35031,Abano Terme
Via Pillon,35031,Abano Terme
Via San Giovanni Bosco,35031,Abano Terme
Via Dell'Abbazia,26834,Abbadia Cerreto
Via Nazionale,23821,Abbadia Lariana
Via Case Nuove,53021,Abbadia San Salvatore
Via Hamman,53021,Abbadia San Salvatore
Viale Roma,53021,Abbadia San Salvatore
Strada Statale 131 Km 124,09071,Abbasanta
Via Garibaldi N. 144,09071,Abbasanta
Via Grazia Deledda,09071,Abbasanta
Via Roma,65020,Abbateggio
Piazza Guglielmo Marconi,20081,Abbiategrasso
Via Cristoforo Colombo 10 Abbiategrasso,20081,Abbiategrasso
Viale Carlo Cattaneo 45,20081,Abbiategrasso
Via Legnano,20081,Abbiategrasso
Via Luigi Einaudi 3,20081,Abbiategrasso
Via Palestro 41 Abbiategrasso,20081,Abbiategrasso
Via Stignani,20081,Abbiategrasso
Via Passarelli,85010,Abriola
Piazza Libertà 34,97011,Acate
Via Duca D'aosta,97011,Acate
Via Roma,71021,Accadia
Via Roma 24,71021,Accadia
Borgo Villa 1,12021,Acceglio
Località Palazzo Snc,75011,Accettura
Via Roma,75011,Accettura
Via Roma N.7,67020,Acciano
Via Salvator Tommasi,02011,Accumoli
Viale I Maggio,85011,Acerenza
Via Vittorio Emanuele III,85011,Acerenza
Via Rimembranza,84042,Acerno
Piazza Falcone e Borsellino,80011,Acerra
Via Dei Mille,80011,Acerra
Via Diaz,80011,Acerra
Via Grazia Deledda,80011,Acerra
Viale Della Democrazia,80011,Acerra
Via Madonnelle,80011,Acerra
Via Spiniello snc,80011,Acerra
Via Stendardo 90/92,80011,Acerra
Via U. Nobile,80011,Acerra
Piazza Della Regione,95020,Aci Bonaccorsi
VIA CESARE BATTISTI,95021,Aci Castello
Via Dante,95021,Aci Castello
Via Dusmet 7/b,95021,Aci Castello
Via Dante Alighieri 6,95022,Aci Catena
Via Dr. Chiarenza,95022,Aci Catena
Via F. Strano 79,95022,Aci Catena
Via Vittorio Emanuele,95022,Aci Catena
Via Arcidiacono Snc,95024,Acireale
Via Collegio Pennisi,95024,Acireale
Via Degli Ulivi,95024,Acireale
Via Del Castello 3 (S.G. Bosco),95024,Acireale
Via Delle Terme,95024,Acireale
Via Dott. Alfio Fichera 3,95024,Acireale
Via Firenze,95024,Acireale
Via Galvani,95024,Acireale
Via Guicciardini sn,95024,Acireale
Via Lancaster,95024,Acireale
Via L. Ariosto,95024,Acireale
Viale Regina Margherita,95024,Acireale
Via Lorenzo Maddem 8,95024,Acireale
Via Mancini 11,95024,Acireale
Via Marchese di Sangiuliano 51,95024,Acireale
Via Mario Arcidiacono 2,95024,Acireale
Via Monetario Floristella 4,95024,Acireale
Via Trapani N.4,95024,Acireale
Via Regina Margherita,95025,Aci Sant'Antonio
Via Tenente Nicola Maugeri 4,95025,Aci Sant'Antonio
Via Veronica 63,95025,Aci Sant'Antonio
Piazza Caduti,03040,Acquafondata
Via San Francesco,87010,Acquaformosa
Via Della Repubblica,25010,Acquafredda
Piazza Mattei,61041,Acqualagna
Via Kennedy,61041,Acqualagna
Via Stazione 128,26020,Acquanegra Cremonese
Piazza XXV Aprile,46011,Acquanegra sul Chiese
Piazza G.Fabrizio,01021,Acquapendente
Via Del Carmine,01021,Acquapendente
Via G. Carducci s.n.c.,01021,Acquapendente
P.zza Municipio,87020,Acquappesa
P.zza Municipio,73040,Acquarica del Capo
Via E. De Nicola N. 50,73040,Acquarica Del Capo
Piazza G. Marcioni,89832,Acquaro
Via Provinciale 153/155,89832,Acquaro
Piazza Xx Settembre,63095,Acquasanta Terme
Piazza XX Settembre,63095,Acquasanta Terme
Corso Umberto Primo,05021,Acquasparta
Via Dante Alghieri 12,05021,Acquasparta
Piazza Nicola Neri,86030,Acquaviva Collecroce
Atrio Palazzo di Citta,70021,Acquaviva delle Fonti
Piazza Di Vagno,70021,Acquaviva delle Fonti
Via Carmelo Colamonico,70021,Acquaviva delle Fonti
Via F.lli Caporizzi,70021,Acquaviva delle Fonti
Via Primocielo C.N.,70021,Acquaviva delle Fonti
Via Prol.To Via Roma,70021,Acquaviva delle Fonti
