latitude,longitude,stars,name,Indirizzo,addr:street,addr:housenumber,addr:postcode,addr:city,phone,email,website,wheelchair,rooms,beds
45.1911461744,7.01478448257,1,Della Posta,VIA MAESTRA 115,Via Maestra, 115,10050,Novalesa,+39 0122653245,albergodellaposta@yahoo.it,www.albergodellaposta.com,no,18,38
45.027344,6.859229,1,Derby,VIA MONFOL 8,Via Monfol, 8,10050,Sauze D'Oulx,+39 3409678343,info@powdercatskiitaly.com,,no,14,20
45.364374,7.223246,3,Savoia,VIA SANTUARIO 5,Via Santuario, 5,10070,Groscavallo,+39 012381184,,,no,11,21
45.075889,7.664158,2,Statuto,VIA PRINCIPI D'ACAJA 17,Via Principi D'acaja, 17,10138,Torino,+39 0114344638,statuto@gaiahotels.it ,https://www.gaiahotels.it/statuto,no,22,36
45.075629,7.510818,3,Davide,VIA LEGNANO 21,Via Legnano, 21,10098,Rivoli,+39 0119534097,info@hoteldaviderivoli.com,www.hoteldaviderivoli.com,yes,39,74
44.85974,7.89923,3,Rio Verde,VIA ALBA 10,Via Alba, 10,10040,Pralormo,+39 01119885381-0119481358,info@hotelrioverde.it,www.hotelrioverde.it,yes,16,32
45.154125,7.797524,4,Green Hotel,VIA MILANO 177,Via Milano, 177,10036,Settimo Torinese,+39 0118005661,info@green-hotel.it,www.green-hotel.it,yes,41,87
44.95479,7.176826,3,Chiabriera,BORGATA CHIABRERA 2,Borgata Chiabrera, 2,10063,Pomaretto,+39 0121803358,info@hotelchiabriera.it,www.hotelchiabriera.it,yes,6,19
45.193169,7.888736,3,La Noce,PIAZZA GARIBALDI GIUSEPPE 10,Piazza Garibaldi Giuseppe, 10,10034,Chivasso,+39 0119101614,info@hotel-lanoce.it,www.hotel-lanoce.it,yes,20,30
44.9566972866,6.80430458879,4,Rio Envers,FRAZIONE SAN SICARIO  ,Frazione San Sicario  ,,10054,Cesana Torinese,+39 0122811937,info@hotelrioenvers.com,www.mountainhotelsgroup.it,no,46,100
45.063748,7.678126,3,Astoria,VIA XX SETTEMBRE 4,Via Xx Settembre, 4,10121,Torino,+39 0115620653,info@astoriahotel.it,https://www.astoriahotel.it,yes,57,86
44.973086,6.895559,3,Sciatori,VIA S. FILIPPO 5,Via S. Filippo, 5,10058,Sestriere,+39 0122751920,info@hotel-sciatori.com,www.hotel-sciatori.com,no,17,38
45.106551,7.645341,3,Master Hotel,CORSO GROSSETO 366,Corso Grosseto, 366,10151,Torino,+39 0114555482,info@masterhoteltorino.it,https://www.masterhoteltorino.it,yes,35,93
45.055415,7.676183,4,Executive Hotel Residence,VIA NIZZA 28,Via Nizza, 28,10125,Torino,+39 0116507707,hotel.executive@gtgrouphotels.com,https://www.hotelexecutivetorino.com,yes,51,150
45.061453,7.67446,3,Luxor,CORSO STATI UNITI 7,Corso Stati Uniti, 7,10128,Torino,+39 0115620777,info@hoteluxor.it,https://www.hoteluxor.it,no,77,138
45.313289,7.530795,3,Del Gallo,PIAZZA CADUTI PER LA LIBERTA' 36,Piazza Caduti Per La Liberta', 36,10070,Corio,+39 011928844,info@albergodelgallo.it,www.albergodelgallo.it,yes,16,20
45.027176,6.858388,2,Assietta,PIAZZA ASSIETTA 4,Piazza Assietta, 4,10050,Sauze D'Oulx,+39 0122850180,info@albergoassietta.it,www.albergoassiettta.it,no,18,44
45.074127,7.618946,4,Holiday Inn Turin - Corso Francia,PIAZZA MASSAUA 21,Piazza Massaua, 21,10142,Torino,+39 011740187,reservations@hiturin.it,https://www.hiturin.it,yes,130,263
44.976223,7.715187,4,Meditur Hotel,STRADA PALERA 96,Strada Palera, 96,10024,Moncalieri,+39 0116477801,manager.torino@hotelidea,www.ideahotel.it,yes,80,160
44.9383157997,6.74891134592,3,Savoia,VIA NAZIONALE 34,Via Nazionale, 34,10050,Claviere,+39 0122878803,htl_savoia@libero.it,www.claviere.it,no,28,74
45.085684,7.677756,4,Pacific Hotel Fortino,STRADA DEL FORTINO 36,Strada del Fortino, 36,10152,Torino,+39 0115217757,hotelfortino@pacifichotels.it,https://www.pacifichotels.it,yes,92,174
45.033334,7.648164,3,Cairo,VIA LA LOGGIA 6,Via La Loggia, 6,10134,Torino,+39 0113171555,info@hotelcairo.it,https://www.hotelcairo.it,yes,46,69
45.080687,6.698294,3,Bucaneve,VIALE DELLA VECCHIA 2,Viale della Vecchia, 2,10052,Bardonecchia,+39 3356024714,info@hotelbucanevebardonecchia.it,www.hotelbucanevebardonecchia.it,yes,15,38
45.200538,7.529009,4,Relais Bella Rosina,VIA AGNELLI GIOVANNI 2,Via Agnelli Giovanni, 2,10070,Fiano,+39 0119233600,info@bellarosina.it,www.bellarosina.it,yes,21,44
45.107461,7.707291,4,Novotel Torino,CORSO GIULIO CESARE  338/34,Corso Giulio Cesare  338/34,,10154,Torino,+39 0112601211,h3306@accor.com,https://www.novotel.com,yes,162,324
45.175331,7.714063,4,Air Palace Hotel,VIA TORINO 100,Via Torino, 100,10040,Leinì,+39 0119977777,info@airpalacehotel.com,www.airpalacehotel.com,yes,89,178
45.066172,7.691709,3,Amadeus e Teatro,VIA PRINCIPE AMEDEO 41 Bis,Via Principe Amedeo 41, Bis,10123,Torino,+39 0118174951,info@hotelamadeustorino.com,https://www.hotelamadeustorino.com,no,28,51
44.93791,6.746571,3,Miramonti,VIA RIO SECCO 1,Via Rio Secco, 1,10050,Claviere,+39 0122878804,miramonti.claviere@libero.it,,no,19,46
45.028774,6.832043,3,Oberje Dla Viere,VIA DES AMBROIS 41,Via Des Ambrois, 41,10056,Oulx,+39 0122830888,info@oberjedlaviere.com,www.oberjedlaviere.com,yes,16,40
45.06713,7.67783,4,Golden Palace 2,VIA ARCIVESCOVADO 14/F,Via Arcivescovado 14/f,,10121,Torino,+39 0115512111,infogolden@allegroitalia.it,https://www.allegroitalia.it,yes,103,206
45.07623,7.652029,3,Tourist,VIA ALPIGNANO 3,Via Alpignano, 3,10143,Torino,+39 0117761740,info@torinohoteltourist.it,,no,28,48
45.080687,6.698294,4,Jafferau,LOCALITA' FREGIUSIA  ,Localita' Fregiusia  ,,10052,Bardonecchia,+39 012299899,booking@hoteljafferau.it,www.hoteljafferau.it,yes,93,258
45.300086,7.460721,3,Italia,VIA CAPOLUOGO 188,Via Capoluogo, 188,10070,Coassolo Torinese,+39 012345588,info@hotelitaliasaber.it,www.hotelitaliasaber.it,yes,12,34
45.084511,7.470084,3,Des Alpes,CORSO MONCENISIO 55,Corso Moncenisio, 55,10090,Rosta,+39 0119567777,info@hoteldesalpes.com,www.hoteldesalpes.com,yes,60,99
45.0712346838,6.69441299527,4,Ca' Fiore,S.P. MELEZET 2,S.P. Melezet, 2,10052,Bardonecchia,+39 012296591,info@cafiore.it,www.cafiore.it,yes,35,98
45.041931,7.35136,3,Valsangone,PIAZZA MOLINES 46,Piazza Molines, 46,10094,Giaveno,+39 0119766812,albergovalsangone@ica-net.it,www.albergovalsangone.it,yes,15,23
45.084944,7.404088,2,Vittoria,CORSO TORINO 90/A,Corso Torino 90/a,,10051,Avigliana,+39 0119367367,,,no,11,24
45.448572,8.005016,3,Taverna Verde,S.S. 228 LAGO DI VIVERONE 28,S.S. 228 Lago di Viverone, 28,10010,Piverone,+39 0125687965,info@tavernaverde.it,www.tavernaverde.it,no,11,25
45.315526,7.388622,3,Valli di Lanzo,VIA ROMA  11,Via Roma , 11,10070,Ceres,+39 012353180,info@ristorantevallidilanzo.eu,www.ristorantevallidilanzo.eu,no,8,13
45.0715422757,6.69646870571,4,Rive' Hotel,REGIONE MOLINO  4,Regione Molino , 4,10052,Bardonecchia,+39 0122909233,info@hotelrive.it,www.hotelrive.it,yes,77,220
45.448572,8.005016,3,Meuble' Giardino,STRADA STATALE 228 10,Strada Statale 228, 10,10010,Piverone,+39 0125727237,meublegiardino@libero.it,www.meublegiardino.it,no,12,24
45.0112723853,7.81604130759,3,Park Hotel,VIALE FRANCESCO FASANO  34,Viale Francesco Fasano , 34,10023,Chieri,+39 3884265681,info@ilparkhotel.it,www.ilparkhotel.it,yes,26,46
45.033715,7.655482,1,Azzurro,VIA TAGGIA 65,Via Taggia, 65,10134,Torino,+39 0113195739,,,no,11,21
44.958972,6.876597,4,Grand Hotel Sestriere,VIA ASSIETTA 1,Via Assietta, 1,10058,Sestriere,+39 012276476,info@grandhotelsestriere.it,www.grandhotelsestriere.it,yes,97,245
45.329184,7.718854,3,Europa,VIALE LOSEGO 22,Viale Losego, 22,10086,Rivarolo Canavese,+39 0124425871,,,yes,40,67
45.063988,7.376746,3,Hermitage,VIA SACRA DI SAN MICHELE 12,Via Sacra di San Michele, 12,10051,Avigliana,+39 0119369207,info@ristorantehermitage.it,www.ristorantehermitage.it,no,8,16
45.467708,7.883513,3,Eden,CORSO D'AZEGLIO MASSIMO 67,Corso D'azeglio Massimo, 67,10015,Ivrea,+39 012549190,info@hoteledenivrea.it,www.mediturhotels.it,no,36,71
45.027088,6.856486,3,Gran Baita,VIA VILLAGGIO ALPINO 21,Via Villaggio Alpino, 21,10050,Sauze D'Oulx,+39 0122850183,granbaitasauze@gmail.com,www.granbaitasauze.it,no,32,78
45.031502,7.613917,2,Casa del Re,CORSO ORBASSANO 460,Corso Orbassano, 460,10137,Torino,+39 3204026244,zhaodongkui2233210@gmail.com,,yes,15,25
45.113484,7.780386,1,Il Patio,VIA CASALE 146,Via Casale, 146,10099,San Mauro Torinese,+39 3388674438,,,no,10,16
44.958089,7.190488,2,Valentino,PIAZZA III ALPINI 4/A,Piazza Iii Alpini 4/a,,10063,Perosa Argentina,+39 0121803781,,www.hotelvalentinoristorante.it,no,30,52
45.094937,7.650108,3,Castello,VIA VEROLENGO 202,Via Verolengo, 202,10149,Torino,+39 011731665,hotelcastello@libero.it,https://www.hotelcastellotorino.com,no,20,36
44.836277,7.494479,3,Residence Hotel Vigone,VIA MONTAGNA 3,Via Montagna, 3,10067,Vigone,+39 0119802527,info@vigone.com,www.vigone.com,yes,13,41
45.060752,7.685024,1,Doria,VIA ACCADEMIA ALBERTINA 42 ,Via Accademia Albertina 42 ,,10123,Torino,+39 0118390601,,,no,20,25
45.08518,7.657543,4,Royal,CORSO REGINA MARGHERITA 249,Corso Regina Margherita, 249,10144,Torino,+39 3487214500,info@hotelroyaltorino.it,https://www.hotelroyaltorino.it,yes,75,141
45.204585,7.619638,3,Flying Hotel,VIA TORINO 34,Via Torino, 34,10077,San Maurizio Canavese,+39 0119278550,info@hotelflying.com,www.hotelflying.com,no,26,43
45.065219,7.681519,5,Principi di Piemonte,VIA GOBETTI PIERO 15,Via Gobetti Piero, 15,10123,Torino,+39 01155151,info@principidipiemonte.com,https://www.atahotels.it,yes,99,249
45.315185,7.303569,2,Ala,VIA VILLAR 10,Via Villar, 10,10070,Ala Di Stura,+39 0123565028,info@albergoristoranteala.it,www.albergoristoranteala.it,no,19,35
45.189693,7.879957,3,Fortyfive,STRADALE TORINO 40,Stradale Torino, 40,10034,Chivasso,+39 0119131152,info@hotelfortyfive.it,www.hotelfortyfive.it,yes,21,41
45.175326,7.648047,2,Caccia Reale,VIA GARIBALDI 1,Via Garibaldi, 1,10072,Caselle Torinese,+39 0119961392,cacciareale@tiscali.it,www.cacciareale.it,no,7,13
44.850483,7.721814,3,San Marco,VIA SAN FRANCESCO DI SALES 18,Via San Francesco di Sales, 18,10022,Carmagnola,+39 0119626953,info@sanmarcoalbergo.com,www.sanmarcoalbergo.com,yes,20,45
45.130335,7.200941,1,Paradise,LOCALITA' POSTA  7,Localita' Posta , 7,10050,Bruzolo,+39 0119637243,paradise.74@libero.it,www.paradisebruzolo.it,no,7,16
45.028108,6.860474,3,Serendipity,VIA MONFOL 21,Via Monfol, 21,10050,Sauze D'Oulx,+39 0122675174,info@serendipityhotel.eu,www.serendipityhotel.eu,yes,20,47
45.432221,7.237321,2,Chalet del Lago,BORGATA PIAN DELLA BALMA 10,Borgata Pian della Balma, 10,10080,Ceresole Reale,+39 0124953128,info@chalet-ceresolereale.it,www.chalet-ceresolereale.it,no,9,15
45.088275,7.393344,3,Sport,CORSO TORINO 248,Corso Torino, 248,10051,Avigliana,+39 0119342384,info@hotelsport.org,www.hotelsport.org,yes,29,60
45.5363477407,7.85929109768,2,'l Burnel,VIA MAESTRA 31,Via Maestra, 31,10010,Nomaglio,+39 0125604051,lburnel@libero.it,,no,7,11
45.15406,7.74992,2,L'ultimo Borgo,STRADA CEBROSA 166,Strada Cebrosa, 166,10036,Settimo Torinese,+39 0118975846,info@golfsettimo.it,www.ultimoborgo.com,yes,12,20
45.064181,7.678453,1,Napoleon,VIA XX SETTEMBRE 5,Via Xx Settembre, 5,10121,Torino,+39 0115613223,info@hotelnapoleontorino.it,,no,13,25
45.056376,7.694615,3,Crimea,VIA MENTANA 3,Via Mentana, 3,10133,Torino,+39 0116604700,info@hotelcrimea.it,https://www.hotelcrimea.it,no,49,92
45.45757,7.85722,4,Crystal Palace,VIA CIRCONVALLAZIONE 4 F,Via Circonvallazione 4, F,10010,Banchette,+39 0125613060,info@hcrystalpalace.com,www.hcrystalpalace.com,yes,29,58
45.10701,7.272002,1,Dell'angelo,VIA TORINO 130,Via Torino, 130,10050,Sant'antonino Di Susa,+39 3420760436,,,no,9,18
45.041684,7.671285,2,Smeraldo,PIAZZA CARDUCCI GIOSUE' 169 B,Piazza Carducci Giosue' 169, B,10126,Torino,+39 0116634577-3299839909,info@hotelsmeraldotorino.it,https://www.hotelsmeraldotorino.it,no,13,25
45.080687,6.698294,1,Pian del Sole,REGIONE GRANGE HYPPOLITES 1,Regione Grange Hyppolites, 1,10052,Bardonecchia,+39 0122999266,info@piandelsole.it,www.piandelsole.it ,no,10,19
44.971474,6.894329,3,Banchetta,VIA DEL COLLE 28,Via del Colle, 28,10058,Sestriere,+39 012270307,sestriere2000@sestriere2000.com,www.sestriere2000.com,yes,28,46
45.033365,7.523614,3,Hotelto,VI STRADA INTERPORTO - SUD  ,Vi Strada Interporto - Sud  ,,10040,Rivalta Di Torino,+39 0113981600 ,info@hotelto.it,https://www.hotelto.it,yes,118,276
45.017146,6.941716,3,Ski Jumping Hotel,VIA WENNBACH HANN  ,Via Wennbach Hann  ,,10060,Pragelato,+39 012278471,booking@hotelskijumping.it,www.hotelskijumping.it,yes,33,99
45.063303,7.680844,4,Concord,VIA LAGRANGE GIUSEPPE LUIGI 47 ,Via Lagrange Giuseppe Luigi 47 ,,10123,Torino,+39 0115176756,booking@hotelconcordtorino.com,https://www.hotelconcordtorino.com,no,139,229
45.073412,6.703536,3,Park Hotel Rosa Serenella,VIALE DELLA VITTORIA 37,Viale della Vittoria, 37,10052,Bardonecchia,+39 0122999066,rosaserenella@virgilio.it,,no,33,78
45.115054,7.708376,3,Vittoriano,CORSO GIULIO CESARE 373,Corso Giulio Cesare, 373,10156,Torino,+39 0112621258,direzione@hotelvittoriano.com,https://www.hotelvittoriano.com,no,24,50
44.9475996204,6.85240384587,2,Del Centro,VIA NAZIONALE 7,Via Nazionale, 7,10058,Sestriere,+39 012277138,info@albergodelcentro.it,www.albergodelcentro.it,no,9,20
45.025292,6.859388,3,Hermitage,VIA MIRAMONTI 7,Via Miramonti, 7,10050,Sauze D'Oulx,+39 0122881572,info@sauzedoulx.org,www.sauzedoulx.org,yes,22,42
45.0456043509,7.67511629358,3,Valentino Du Parc,VIA DI BONDONE GIOTTO 16,Via di Bondone Giotto, 16,10126,Torino,+39 011673932,hotelvalentinoduparc@yahoo.com,https://www.hotelvalentinoduparc.com,no,18,25
45.0444,7.771894,3,Pino Torinese,VIA ROMA 34,Via Roma, 34,10025,Pino Torinese,+39 011843404-3402526211,info@hotelpinotorinese.it,www.hotelpinotorinese.it,no,7,14
45.0608821941,7.67279131816,2,Montevecchio,VIA MONTEVECCHIO RODOLFO DETTO GABRIELLI 13 Bis,Via Montevecchio Rodolfo Detto Gabrielli 13, Bis,10128,Torino,+39 0115620023,info@hotelmontevecchio.com,https://www.hotelmontevecchio.com,no,29,48
45.075545,6.706112,3,I Larici,VIA MONTENERO 28,Via Montenero, 28,10052,Bardonecchia,+39 0122902490,info@hotelilarici.com,www.hotelilarici.com,no,18,48
44.95761,6.881104,4,Cristallo,VIA PINEROLO 5,Via Pinerolo, 5,10058,Sestriere,+39 0122750707,info@hotelcristallosestriere.com ,www.hotelcristallosestriere.com,yes,46,140
45.064523,7.6787,3,Adalesia,VIA XX SETTEMBRE 7/A,Via Xx Settembre 7/a,,10121,Torino,+39 011545361,info@adalesia.it,https://www.hoteladalesia.it,no,9,21
45.034387,7.684717,1,Gran Mago,VIA SABAUDIA 25 Bis,Via Sabaudia 25, Bis,10133,Torino,+39 0116611435,albergogranmago@gmail.com,,no,11,20
45.23269,7.857634,3,Garden,PIAZZA FROLA SECONDO SENATORE 4,Piazza Frola Secondo Senatore, 4,10017,Montanaro,+39 0119193216,garden.albergo2017@gmail.com,,yes,7,14
45.026323,6.861044,3,La Terrazza,VIA CLOTES 32,Via Clotes, 32,10050,Sauze D'Oulx,+39 0122850173,chezlaterrazzahotel@gmail.com,www.hotellaterrazzasauze.com,no,40,99
44.941181,6.758525,3,Clari,REGIONE SAN GERVASIO 1,Regione San Gervasio, 1,10050,Claviere,+39 0122878876,info@hotelclari.it,www.hotelclari.it,yes,17,52
45.141813,7.190638,3,Massi Hotel Valle di Susa,VIA CAVOUR 18/b,Via Cavour 18/b,,10050,Bruzolo,+39 0119637610,info@massihotel.com,www.massihotel.com,yes,18,37
45.064344,7.650808,3,Universo,CORSO PESCHIERA 166,Corso Peschiera, 166,10138,Torino,+39 011336480,info@universohotel.it,https://www.universohotel.it,no,36,66
